"revenue class","first nations","first nations","inuit","inuit","non-indigenous comparison group","non-indigenous comparison group"
"revenue class","non-employer","employer","non-employer","employer","non-employer","employer"
"revenue class","millions of dollars","millions of dollars","millions of dollars","millions of dollars","millions of dollars","millions of dollars"
"goods","","","","","",""
"no revenue","-3","0","0","..","x","-7"
"more than $0 and less than $30,000","-1","-1","0","..","-24","-11"
"between $30,000 and $100,000","0","-1","0","0","7","-13"
"between $100,000 and $250,000","2","x","0","0","64","23"
"between $250,000 and $1,000,000","6","x","0","0","75","171"
"over $1,000,000","-3","49","3","19","78","2,176"
"all revenue classes","1","48","3","19","186","2,339"
"goods","","","","","",""
"no revenue","-1","x","x","x","x","x"
"more than $0 and less than $30,000","-2","-1","x","..","-38","-87"
"between $30,000 and $100,000","0","x","..","..","6","-27"
"between $100,000 and $250,000","1","-4","x","..","99","-19"
"between $250,000 and $1,000,000","4","3","x","x","630","419"
"over $1,000,000","12","35","1","x","654","1,881"
"all revenue classes","15","33","1","-1","1,338","2,161"
"service","","","","","",""
"no revenue","x","-1","0","x","-68","x"
"more than $0 and less than $30,000","-4","-1","0","x","-85","-47"
"between $30,000 and $100,000","4","-1","0","0","119","-34"
"between $100,000 and $250,000","11","1","2","0","256","89"
"between $250,000 and $1,000,000","18","-11","2","3","798","653"
"over $1,000,000","90","116","8","63","1,556","2,338"
"all revenue classes","111","103","11","66","2,575","2,985"
"unassigned","","","","","",""
"no revenue","-3","0","0","x","-9","-1"
"more than $0 and less than $30,000","-2","-5","0","x","-6","-2"
"between $30,000 and $100,000","1","0","0","x","39","0"
"between $100,000 and $250,000","2","-1","1","x","92","11"
"between $250,000 and $1,000,000","2","1","..","..","134","20"
"over $1,000,000","24","-1","..","..","186","22"
"all revenue classes","25","-5","2","0","435","51"
"all industries","","","","","",""
"all revenue classes","152","178","17","85","4,535","7,537"
