"location","foreign r&d performance of u.s. companies ($millions)","computer and electronic products (naics 334) (%)","information","pharmaceuticals and medicines (naics 3254) (%)","transportation equipment","all other industries"
"total","73100","25","19","14","13","30"
"united kingdom","8949","8","31","17","12","32"
"germany","8637","21","9","5","32","33"
"india","5860","45","31","4","7","13"
"china","5774","37","21","7","6","30"
"canada","5265","27","27","12","12","21"
"israel","4086","49","29","1","d","d"
"france","3082","26","16","16","11","31"
"japan","2761","12","12","34","4","37"
"switzerland","2495","7","17","27","","49"
"singapore","2115","58","9","5","","28"
