"fiscal year","all federal obligations","r&d","r&d plant","facilities and equipment for instruction in s&e","fellowships, traineeships, and training grants","general support for s&e","other s&e activities"
"current $millions","current $millions","current $millions","current $millions","current $millions","current $millions","current $millions","current $millions"
"2009a","35874","32081","806","5","968","245","1769"
"2010a","35942","30999","1831","6","1137","361","1609"
"2011","31760","28202","330","4","1016","208","2000"
"2012","31216","27700","437","4","914","142","2019"
"2013","29407","26156","273","4","894","132","1948"
"2014","31157","27652","400","11","1341","138","1615"
"2015","30561","27105","371","4","1347","138","1596"
"2016","31647","28531","370","4","1374","128","1239"
"2017","32431","29796","432","3","1371","96","732"
"constant fy 2012 $millions","constant fy 2012 $millions","constant fy 2012 $millions","constant fy 2012 $millions","constant fy 2012 $millions","constant fy 2012 $millions","constant fy 2012 $millions","constant fy 2012 $millions"
"2009a","37600","33624","845","5","1015","257","1854"
"2010a","37342","32207","1902","6","1181","375","1672"
"2011","32339","28716","336","4","1035","212","2036"
"2012","31216","27700","437","4","914","142","2019"
"2013","28918","25721","268","4","879","130","1916"
"2014","30092","26707","386","11","1295","133","1560"
"2015","29164","25866","354","4","1285","132","1523"
"2016","29881","26939","349","4","1297","121","1170"
"2017","30079","27635","401","3","1272","89","679"
