"athlete","event","heat","heat","semifinal","semifinal","final","final"
"athlete","event","result","rank","result","rank","result","rank"
"jamile samuel","100 metres","dq","dq","did not advance","did not advance","did not advance","did not advance"
"naomi sedney","100 metres","11.41","30","did not advance","did not advance","did not advance","did not advance"
"dafne schippers","100 metres","11.01","5 q","10.83 nr","2 q","10.81 nr","none"
"dafne schippers","200 metres","22.58","5 q","22.36","6 q","21.63 cr, er, wl","none"
"sifan hassan","800 metres","1:59.94","7 q","1:58.50 pb","5","did not advance","did not advance"
"sifan hassan","1500 metres","4:09.52","22 q","4:15.38","12 q","4:09.34","none"
"maureen koster","1500 metres","4:05.55","6 q","4:10.95","9","did not advance","did not advance"
"maureen koster","5000 metres","dnf","dnf","n/a","n/a","did not advance","did not advance"
"susan kuijken","5000 metres","15:25.67","8 q","n/a","n/a","15:08.00","8"
"susan kuijken","10,000 metres","n/a","n/a","n/a","n/a","31:54.32","10"
"jip vastenburg","10,000 metres","n/a","n/a","n/a","n/a","32:03.03","11"
"jamile samuel dafne schippers nadine visser naomi sedney","4 × 100 metres relay","42.32 nr","4 q","n/a","n/a","dq","dq"
