"club","division","season","league","league","hazfi cup","hazfi cup","asia","asia","total","total"
"club","division","season","apps","goals","apps","goals","apps","goals","apps","goals"
"naft tehran","persian gulf cup","2011-12","4","0","0","0","-","-","4","0"
"naft tehran","persian gulf cup","2012-13","21","0","1","0","-","-","22","0"
"sanat naft","azadegan league","2013-14","19","3","4","0","-","-","23","3"
"sanat naft","azadegan league","2014-15","20","9","0","0","-","-","11","0"
"esteghlal khuzestan","persian gulf pro league","2015-16","28","7","2","0","-","-","28","7"
"esteghlal khuzestan","persian gulf pro league","2016-17","14","6","1","0","0","0","14","6"
"al-shahania","qatar stars league","2017","8","0","0","0","0","0","8","3"
"foolad","persian gulf pro league","201718","14","3","0","0","0","0","14","3"
"career totals","career totals","career totals","120","28","8","0","0","0","133","31"
