"club","season","league","league","league","cup","cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"cordoba","2011-12","segunda division","35","8","4","0","-","-","39","8"
"cordoba","2012-13","segunda division","17","2","4","2","-","-","21","4"
"cordoba","total","total","52","10","8","2","-","-","60","12"
"xerez","2012-13","segunda division","4","0","0","0","-","-","4","0"
"xerez","total","total","4","0","0","0","-","-","4","0"
"buriram united","2013","thai premier league","20","14","6","2","1","0","27","16"
"buriram united","2014","thai premier league","34","21","7","4","0","0","41","25"
"buriram united","total","total","54","35","13","6","1","0","68","41"
"henan jianye","2015","chinese super league","27","11","2","1","-","-","29","12"
"henan jianye","2016","chinese super league","28","8","2","1","-","-","30","9"
"henan jianye","2017","chinese super league","5","2","0","0","-","-","5","2"
"henan jianye","total","total","60","21","4","2","-","-","64","23"
"buriram united","2018","thai premier league","11","4","5","3","0","0","16","7"
"buriram united","total","total","11","4","5","3","0","0","16","7"
"career total","career total","career total","181","70","30","13","1","0","212","83"
