"self-reported mental health rating","total - 65 years and over","total - 65 years and over","65 to 74 years","65 to 74 years","75 to 84 years","75 to 84 years","85 years and over","85 years and over"
"self-reported mental health rating","women","men","women","men","women","men","women","men"
"self-reported mental health rating","percentage","percentage","percentage","percentage","percentage","percentage","percentage","percentage"
"positive","94.3","94.3","95.1","94.7","93.1","94.5","93.9","90.0"
"excellent","32.7","34.4","35.6","37.2","29.7","30.4","24.4","24.8"
"very good","35.6","34.6","35.3","35.4","36.1","34.1","35.8","28.8"
"good","26.0","25.3","24.2","22.1","27.3","30.0","33.6","36.3"
"negative","5.7","5.7","4.9","5.3","6.9","5.5","6.1","10.0"
"fair","4.9","5.0","4.3","4.5","5.7","5.0","5.7","9.0"
"poor","0.8","0.7","0.6","0.7","1.2","0.5","f","f"
"total","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
