"characteristic","men","men","men","men","men","men","women","women","women","women","women","women"
"characteristic","or","95% confidence interval","95% confidence interval","aor","95% confidence interval","95% confidence interval","or","95% confidence interval","95% confidence interval","aor","95% confidence interval","95% confidence interval"
"characteristic","or","from","to","aor","from","to","or","from","to","aor","from","to"
"sexual identity","","","","","","","","","","","",""
"heterosexual","1.0","..","..","1.0","..","..","1.0","..","..","1.0","..",".."
"gay or lesbian","0.6","0.4","0.9","0.6","0.4","1.0","0.7","0.4","1.0","0.7","0.5","1.1"
"bisexual","0.4","0.3","0.6","0.5","0.3","0.8","0.2","0.2","0.3","0.3","0.2","0.5"
"age group","","","","","","","","","","","",""
"15 to 24","1.0","..","..","..","..","..","1.0","..","..","..","..",".."
"25 to 44","1.0","0.9","1.2","..","..","..","1.2","1.1","1.4","..","..",".."
"45 to 64","1.0","0.8","1.1","..","..","..","1.3","1.1","1.5","..","..",".."
"65 and older","0.9","0.8","1.1","..","..","..","1.2","1.0","1.4","..","..",".."
"age","..","..","..","1.00","1.00","1.01","..","..","..","1.02","1.01","1.02"
"household income quintile","","","","","","","","","","","",""
"lowest","1.0","..","..","1.0","..","..","1.0","..","..","1.0","..",".."
"low-middle","1.3","1.1","1.6","1.2","1.0","1.5","1.3","1.1","1.5","1.2","1.0","1.4"
"middle","1.6","1.4","1.9","1.5","1.2","1.8","1.5","1.3","1.7","1.3","1.1","1.5"
"high-middle","2.2","1.9","2.6","1.9","1.6","2.3","1.8","1.6","2.1","1.6","1.4","1.9"
"highest","2.3","1.9","2.7","1.9","1.6","2.3","2.3","2.0","2.6","1.9","1.6","2.3"
"marital status","","","","","","","","","","","",""
"married or living common-law","1.0","..","..","1.0","..","..","1.0","..","..","1.0","..",".."
"widowed/separated/divorced","0.6","0.5","0.7","0.7","0.6","0.9","0.6","0.6","0.7","0.8","0.7","0.9"
"never married","0.6","0.6","0.7","0.7","0.6","0.8","0.6","0.6","0.7","0.7","0.7","0.8"
"cultural / racial background","","","","","","","","","","","",""
"white","1.0","..","..","1.0","..","..","1.0","..","..","1.0","..",".."
"south asian","1.4","1.0","2.0","1.5","1.1","2.2","1.5","1.0","2.1","1.7","1.1","2.4"
"chinese","0.7","0.6","1.0","0.8","0.5","1.1","0.8","0.6","1.0","0.7","0.5","1.0"
"black","2.2","1.3","3.7","3.0","1.7","5.4","1.0","0.7","1.5","1.3","0.9","2.0"
"other","1.0","0.8","1.3","1.2","1.0","1.5","1.6","1.3","2.0","1.9","1.5","2.4"
"indigenous identity","","","","","","","","","","","",""
"indigenous","0.7","0.6","0.9","0.8","0.3","2.4","0.6","0.5","0.8","0.5","0.2","1.5"
"non-indigenous","1.0","..","..","1.0","..","..","1.0","..","..","1.0","..",".."
"number of chronic conditions","","","","","","","","","","","",""
"none","1.0","..","..","1.0","..","..","1.0","..","..","1.0","..",".."
"one","0.8","0.7","0.9","0.7","0.6","0.8","0.6","0.6","0.7","0.6","0.5","0.7"
"two","0.6","0.5","0.7","0.5","0.5","0.7","0.6","0.5","0.7","0.5","0.4","0.6"
"three or more","0.4","0.3","0.4","0.3","0.3","0.4","0.3","0.3","0.4","0.3","0.2","0.3"
