"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"union santa fe","2008-09","primera b nacional","1","0","0","0","-","-","0","0","1","0"
"union santa fe","2009-10","primera b nacional","9","1","0","0","-","-","0","0","9","1"
"union santa fe","2010-11","primera b nacional","35","5","0","0","-","-","0","0","35","5"
"union santa fe","2011-12","primera division","28","2","1","0","-","-","0","0","29","2"
"union santa fe","2012-13","primera division","25","0","0","0","-","-","0","0","25","0"
"union santa fe","2013-14","primera division","0","0","0","0","-","-","0","0","0","0"
"union santa fe","2014","primera b nacional","16","0","0","0","-","-","0","0","16","0"
"union santa fe","2015","primera division","15","1","1","0","-","-","0","0","16","1"
"union santa fe","2016","primera division","0","0","0","0","-","-","0","0","0","0"
"union santa fe","total","total","129","9","2","0","-","-","0","0","131","9"
"arsenal de sarandi","2013-14","primera division","9","0","1","0","-","-","2","0","0","0"
"independiente rivadavia","2016-17","primera b nacional","34","0","1","0","-","-","0","0","35","0"
"argentinos juniors","2017-18","primera division","21","0","1","0","-","-","0","0","22","0"
"argentinos juniors","2018-19","primera division","4","0","1","0","-","-","0","0","5","0"
"argentinos juniors","total","total","25","0","2","0","-","-","0","0","27","0"
"career total","career total","career total","197","9","6","0","-","-","2","0","0","0"
