"tournament","matches","results","results","results","goals","goals"
"tournament","matches","india india","pakistan pakistan","draw","india india","pakistan pakistan"
"india vs pakistan test series","52","16","25","11","104","124"
"summer olympics","7","2","4","1","3","8"
"world cup","5","3","2","0","10","7"
"champions trophy","19","7","12","0","48","54"
"asian games","15","4","8","3","17","29"
"asia cup","8","3","5","0","17","19"
"asian hockey champions trophy","8","4","2","2","21","18"
"commonwealth games","3","1","1","1","10","10"
"fih hockey world league","3","2","0","1","15","4"
"afro-asian games","2","2","0","0","7","3"
"other matches","other matches","other matches","other matches","other matches","other matches","other matches"
"africa","2","1","0","1","5","2"
"americas","2","0","1","1","5","8"
"asia","34","14","14","6","65","67"
"europe","10","1","8","1","16","33"
"oceania","5","2","0","3","12","9"
"total","175","62","82","31","355","395"
