"club","season","league","league","league","national cup","national cup","league cup","league cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"moreirense","1996-97","segunda liga","2","0","0","0","0","0","-","-","-","-","2","0"
"freamunde","1997-98","terceira divisao","0","0","0","0","0","0","-","-","-","-","0","0"
"freamunde","1998-99","segunda divisao","26","7","0","0","0","0","-","-","-","-","26","7"
"freamunde","1999-00","segunda liga","31","9","1","0","0","0","-","-","-","-","32","9"
"freamunde","total","total","57","16","1","0","0","0","-","-","-","-","58","16"
"santa clara","2000-01","segunda liga","28","3","1","0","0","0","-","-","-","-","29","3"
"gil vicente","2001-02","primeira liga","32","4","1","0","0","0","-","-","-","-","33","4"
"sporting","2002-03","primeira liga","6","1","3","2","0","0","2","0","-","-","11","3"
"porto","2003-04","primeira liga","13","1","1","0","0","0","6","0","1","0","21","1"
"academica","2004-05","primeira liga","21","2","0","0","0","0","-","-","-","-","21","2"
"apoel","2005-06","cypriot first division","22","9","10","4","-","-","4","0","-","-","36","13"
"apoel","2006-07","cypriot first division","23","5","8","1","-","-","4","2","1","0","36","8"
"apoel","2007-08","cypriot first division","19","2","4","1","-","-","2","0","1","0","26","3"
"apoel","total","total","64","16","22","6","-","-","10","2","2","0","98","24"
"metalurh donetsk","2007-08","ukrainian premier league","10","1","0","0","0","0","-","-","-","-","10","1"
"metalurh donetsk","2008-09","ukrainian premier league","27","8","0","0","0","0","-","-","-","-","27","8"
"metalurh donetsk","total","total","37","9","0","0","0","0","-","-","-","-","37","9"
"anothosis","2009-10","cypriot first division","9","1","0","0","0","0","4","1","-","-","13","2"
"ael limassol","2009-10","cypriot first division","13","2","3","1","0","0","-","-","-","-","16","3"
"hapoel be'er sheva","2010-11","israeli premier league","15","0","0","0","0","0","-","-","-","-","15","0"
"metalurh donetsk","2010-11","ukrainian premier league","9","4","0","0","0","0","-","-","-","-","9","4"
"metalurh donetsk","2011-12","ukrainian premier league","12","1","2","0","0","0","-","-","-","-","14","1"
"metalurh donetsk","total","total","21","5","2","0","0","0","-","-","-","-","23","5"
"panetolikos","2011-12","superleague greece","8","1","1","0","-","-","-","-","-","-","9","1"
"doxa","2012-13","cypriot first division","25","6","3","0","-","-","-","-","-","-","28","6"
"doxa","2013-14","cypriot first division","14","5","1","0","-","-","-","-","-","-","15","5"
"doxa","total","total","39","11","4","0","-","-","-","-","-","-","43","11"
"omonia","2013-14","cypriot first division","13","0","2","0","-","-","-","-","-","-","15","0"
"doxa","2014-15","cypriot first division","27","6","0","0","-","-","-","-","-","-","27","6"
"doxa","2015-16","cypriot first division","13","2","0","0","-","-","-","-","-","-","13","2"
"doxa","total","total","40","8","0","0","-","-","-","-","-","-","40","8"
"trofense","2016-17","campeonato portugal","28","11","1","0","-","-","-","-","-","-","29","11"
"felgueiras 1932","2017-18","campeonato portugal","25","3","3","1","-","-","-","-","-","-","28","4"
"career total","career total","career total","467","94","45","10","0","0","22","3","3","0","537","107"
