"england","first innings","first innings","second innings","second innings"
"batsman","method of dismissal","runs","method of dismissal","runs"
"l. hutton","c tallon b lindwall","30","c tallon b miller","64"
"j. g. dewes","b miller","1","b lindwall","10"
"w. j. edrich","c hassett b johnston","3","b lindwall","28"
"d. c. s. compton","c morris b lindwall","4","c lindwall b johnston","39"
"j. f. crapp","c tallon b miller","0","b miller","9"
"* n. w. d. yardley","b lindwall","7","c miller b johnston","9"
"a. j. watkins","lbw b johnston","0","c hassett b ring","2"
"+ t. g. evans","b lindwall","1","b lindwall","8"
"a. v. bedser","b lindwall","0","b johnston","0"
"j. a. young","b lindwall","0","not out","3"
"e. w. hollies","not out","0","c morris b johnston","0"
"extras","none","6","none","16"
"total","(42.1 overs)","52","(105.3 overs)","188"
