"province and territory","2016 population","municipal police services","municipal police services","provincial police services","provincial police services","royal canadian mounted police","royal canadian mounted police","royal canadian mounted police","royal canadian mounted police","royal canadian mounted police","total policing","total policing"
"province and territory","2016 population","total expenditures","percentage change from previous year","total expenditures","percentage change from previous year","contract policing expenditures","federal and international policing expenditures","operational support and services expenditures","total expenditures","percentage change from previous year","total expenditures","percentage change from previous year"
"province and territory","number","thousands of dollars","percent","thousands of dollars","percent","thousands of dollars","thousands of dollars","thousands of dollars","thousands of dollars","percent","thousands of dollars","percent"
"newfoundland and labrador","528,817","..","..","59,318","2.8","84,763","10,717","8,809","104,289","8.0","163,607","6.1"
"prince edward island","152,021","13,486","2.1","..","..","16,460","2,908","2,103","21,471","2.6","34,957","2.4"
"nova scotia","953,869","135,165","0.9","..","..","130,686","16,464","13,654","160,804","-0.2","295,969","0.3"
"new brunswick","759,655","70,823","3.9","..","..","110,230","18,568","22,578","151,377","0.1","222,200","1.3"
"quebec","8,394,034","1,618,640","0.1","953,274","1.4","..","116,227","42,121","158,348","-0.2","2,730,262","0.5"
"ontario","14,193,384","3,883,298","1.9","1,151,119","-3.0","144","255,753","56,707","312,604","0.4","5,347,021","0.7"
"manitoba","1,338,109","310,860","8.2","..","..","166,882","11,922","29,650","208,454","-0.2","519,314","4.7"
"saskatchewan","1,163,925","207,600","10.3","..","..","204,007","13,616","19,867","237,490","0.2","445,090","4.7"
"alberta","4,286,134","964,007","6.2","..","..","480,021","39,202","34,579","553,802","8.1","1,517,809","6.9"
"british columbia","4,817,160","531,755","2.9","..","..","901,320","101,373","73,933","1,076,626","3.0","1,608,381","2.9"
"yukon","38,459","..","..","..","..","30,215","1,895","3,481","35,590","-1.5","35,590","-1.5"
"northwest territories","44,520","..","..","..","..","54,301","2,281","3,060","59,643","2.0","59,643","2.0"
"nunavut","37,996","..","..","..","..","51,466","2,319","3,259","57,044","6.5","57,044","6.5"
"provincial and territorial total","36,708,083","7,735,634","2.6","2,163,711","-1.0","2,230,495","593,245","313,801","3,137,542","2.8","13,036,887","2.0"
"royal canadian mounted police headquarters and training academy","..","..","..","..","..","449,602","254,328","928,595","1,632,525","14.2","1,632,525","14.2"
"canada","36,708,083","7,735,634","2.6","2,163,711","-1.0","2,680,097","847,573","1,242,396","4,770,067","6.4","14,669,412","3.2"
