"disability type","both","both","women","women","men","men"
"disability type","number","percent","number","percent","number","percent"
"total population - aged 15 years and over","28,008,860","100.0","14,345,330","100.0","13,663,530","100.0"
"pain-related","4,062,000","14.5","2,374,230","16.6","1,687,770","12.4"
"flexibility","2,795,110","10.0","1,568,970","10.9","1,226,140","9.0"
"mobility","2,676,370","9.6","1,601,010","11.2","1,075,350","7.9"
"mental health-related","2,027,370","7.2","1,272,490","8.9","754,880","5.5"
"seeing","1,519,840","5.4","903,040","6.3","616,800","4.5"
"hearing","1,334,520","4.8","619,360","4.3","715,160","5.2"
"dexterity","1,275,610","4.6","784,120","5.5","491,490","3.6"
"learning","1,105,680","3.9","560,970","3.9","544,700","4.0"
"memory","1,050,840","3.8","575,760","4.0","475,080","3.5"
"developmental","315,470","1.1","123,310","0.9","192,160","1.4"
"unknown","155,810","0.6","75,150","0.5","80,660","0.6"
