"most serious sentence","single-charge cases","single-charge cases","multiple-charge cases","multiple-charge cases","total guilty cases","total guilty cases"
"most serious sentence","number","percent","number","percent","number","percent"
"intimate partner violence cases","","","","","",""
"custody","4,120","14","29,528","38","33,648","31"
"conditional sentence","937","3","4,200","5","5,137","5"
"probation","20,013","66","33,200","43","53,213","49"
"fine","778","3","5,057","7","5,835","5"
"other sentences","4,354","14","5,381","7","9,735","9"
"total guilty ipv cases","30,202","100","77,366","100","107,568","100"
"non-intimate partner violence (non-ipv) cases","","","","","",""
"custody","4,796","20","29,321","46","34,117","39"
"conditional sentence","1,269","5","4,264","7","5,533","6"
"probation","13,478","56","21,715","34","35,193","40"
"fine","1,578","7","4,452","7","6,030","7"
"other sentences","2,828","12","4,121","6","6,949","8"
"total guilty non-ipv cases","23,949","100","63,873","100","87,822","100"
"total guilty cases","54,151","..","141,239","..","195,390",".."
