"club","season","league","league","league","cup","cup","europe","europe","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"dynamo moscow","2007","russian premier league","3","0","0","0","-","-","3","0"
"dynamo moscow","2008","russian premier league","7","1","1","0","-","-","8","1"
"dynamo moscow","2009","russian premier league","18","0","3","1","2","0","23","1"
"dynamo moscow","2010","russian premier league","2","0","0","0","-","-","2","0"
"dynamo moscow","2011-12","russian premier league","23","2","1","0","-","-","24","2"
"dynamo moscow","2013-14","russian premier league","13","0","1","0","-","-","14","0"
"dynamo moscow","2014-15","russian premier league","2","0","0","0","1","0","3","0"
"dynamo moscow","total","total","68","3","6","1","3","0","77","4"
"feyenoord","2010-11","eredivisie","11","1","1","0","2","0","14","1"
"anzhi makhachkala","2012-13","russian premier league","15","0","3","0","8","1","26","1"
"anzhi makhachkala","2013-14","russian premier league","11","2","0","0","4","0","15","2"
"anzhi makhachkala","total","total","26","2","3","0","12","1","41","3"
"ural yekaterinburg","2014-15","russian premier league","22","8","1","0","-","-","23","8"
"krasnodar","2015-16","russian premier league","29","20","3","1","12","3","44","24"
"krasnodar","2016-17","russian premier league","22","18","1","1","8","6","31","25"
"krasnodar","2017-18","russian premier league","22","14","0","0","2","0","24","14"
"krasnodar","total","total","73","52","4","2","22","9","99","63"
"career total","career total","career total","200","66","15","3","39","10","254","79"
