"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"gillingham","2012-13","league two","1","0","0","0","0","0","0","0","1","0"
"gillingham","2013-14","league one","1","0","0","0","0","0","0","0","1","0"
"gillingham","total","total","2","0","0","0","0","0","0","0","2","0"
"barnet","2013-14","conference premier","6","0","-","-","6","0","none","none","none","none"
"barnet","2014-15","conference premier","16","1","0","0","-","-","2","0","18","1"
"barnet","2015-16","league two","23","0","2","0","1","0","1","0","27","0"
"barnet","2016-17","league two","13","0","1","0","0","0","3","0","17","0"
"barnet","total","total","58","1","3","0","1","0","6","0","68","1"
"eastleigh","2016-17","national league","5","0","-","-","5","0","none","none","none","none"
"york city","2016-17","national league","8","0","-","-","8","0","none","none","none","none"
"york city","2017-18","national league north","8","0","0","0","-","-","0","0","8","0"
"york city","total","total","16","0","0","0","-","-","0","0","16","0"
"boston united","2017-18","national league north","6","0","-","-","6","0","none","none","none","none"
"chesterfield","2018-19","national league","18","0","2","0","-","-","0","0","20","0"
"darlington","2018-19","national league north","2","0","-","-","2","0","none","none","none","none"
"career total","career total","career total","107","1","5","0","1","0","6","0","119","1"
