"club","season","league","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"blackburn rovers","2011-12","premier league","7","0","1","0","0","0","-","-","8","0"
"blackburn rovers","2012-13","championship","15","0","2","0","0","0","-","-","17","0"
"blackburn rovers","2013-14","championship","14","0","2","0","0","0","-","-","16","0"
"blackburn rovers","2014-15","championship","18","1","5","0","1","0","-","-","24","1"
"blackburn rovers","2015-16","championship","24","0","2","0","0","0","-","-","26","0"
"blackburn rovers","2016-17","championship","2","0","0","0","1","0","-","-","3","0"
"blackburn rovers","80","1","12","0","2","0","-","-","94","1","none","none"
"real salt lake","2018","major league soccer","5","0","0","0","0|0","0|0","-","-","5","0"
"real salt lake","2019","major league soccer","0","0","0","0","0|0","0|0","-","-","0","0"
"real salt lake","5","0","0","0","0","0","-","-","5","0","none","none"
"career total","career total","career total","85","1","12","0","2","0","-","-","99","1"
