"season","team","games","games","tackles","tackles","tackles","tackles","tackles","tackles","interceptions","interceptions","interceptions","interceptions","interceptions","fumbles","fumbles","fumbles","fumbles"
"season","team","gp","gs","comb","total","ast","sck","sfty","pdef","int","yds","avg","lng","tds","ff","fr","yds","tds"
"2005","philadelphia eagles","15","7","46","38","8","5.0","-","2","-","-","-","-","-","1","0","0","0"
"2006","philadelphia eagles","16","14","62","43","19","8.0","-","2","1","19","19.0","19t","1","1","1","0","0"
"2007","philadelphia eagles","16","16","70","49","21","12.5","-","2","-","-","-","-","-","4","1","0","0"
"2008","philadelphia eagles","16","16","77","59","18","9.0","-","2","-","-","-","-","-","2","0","0","0"
"2009","philadelphia eagles","16","16","57","48","9","12.5","-","-","-","-","-","-","-","2","0","0","0"
"2010","philadelphia eagles","15","15","65","50","15","10.0","-","2","-","-","-","-","-","1","0","0","0"
"2011","philadelphia eagles","14","14","44","41","3","11.0","-","1","-","-","-","-","-","1","0","0","0"
"2012","philadelphia eagles","16","16","40","24","16","3.0","-","-","-","-","-","-","-","1","1","0","0"
"2013","philadelphia eagles","16","16","56","44","12","8.0","1","3","-","-","-","-","-","3","0","0","0"
"2014","philadelphia eagles","15","15","52","40","12","6.5","-","-","-","-","-","-","-","3","0","0","0"
"2015","indianapolis colts","14","14","32","20","12","3.0","-","3","-","-","-","-","-","2","0","0","0"
"2016","indianapolis colts","7","4","17","20","5","2.0","-","1","-","-","-","-","-","2","0","0","0"
"","total","176","157","618","456","150","90.5","1","27","1","19","19.0","19","1","21","3","1","0"
