"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"san lorenzo","2002-03","argentine primera division","11","0","-","-","1","0","-","-","12","0"
"san lorenzo","2003-04","argentine primera division","27","3","-","-","3","0","-","-","30","3"
"san lorenzo","2004-05","argentine primera division","28","5","-","-","9","0","-","-","37","5"
"san lorenzo","total","total","66","8","0","0","13","0","0","0","79","8"
"espanyol","2005-06","la liga","27","2","1","0","7","0","-","-","35","2"
"espanyol","2006-07","la liga","20","0","0","0","9","0","2","0","31","0"
"espanyol","2007-08","la liga","32","1","4","0","-","-","36","1","none","none"
"espanyol","total","total","79","3","5","0","16","0","2","0","102","3"
"manchester city","2008-09","premier league","29","1","2","0","11","0","-","-","42","1"
"manchester city","2009-10","premier league","27","0","8","0","-","-","35","0","none","none"
"manchester city","2010-11","premier league","26","2","8","0","11","0","-","-","45","2"
"manchester city","2011-12","premier league","21","1","5","0","5","0","0","0","31","1"
"manchester city","2012-13","premier league","30","2","6","1","5","0","1","0","42","3"
"manchester city","2013-14","premier league","35","1","7","0","6","0","-","-","48","1"
"manchester city","2014-15","premier league","29","1","1","0","6","1","0","0","36","2"
"manchester city","2015-16","premier league","13","0","6","0","3","0","-","-","22","0"
"manchester city","2016-17","premier league","20","1","5","1","7","0","-","-","32","2"
"manchester city","total","total","230","9","48","2","54","1","1","0","333","12"
"west ham united","2017-18","premier league","37","0","2","0","-","-","39","0","none","none"
"west ham united","2018-19","premier league","25","0","1","0","-","-","26","0","none","none"
"west ham united","total","total","62","0","3","0","0","0","0","0","65","0"
"career total","career total","career total","437","20","56","2","83","1","3","0","579","23"
