"club","season","league","league","league","fa cup","fa cup","league cup","league cup","europe","europe","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"charlton athletic","1997-98","first division","3","0","0","0","1","0","-","-","4","0"
"charlton athletic","1998-99","premier league","2","0","0","0","0","0","-","-","2","0"
"charlton athletic","1999-2000","first division","8","0","0","0","2","0","-","-","10","0"
"charlton athletic","2000-01","premier league","23","0","2","0","2","0","-","-","27","0"
"charlton athletic","2001-02","premier league","34","1","2","0","3","1","-","-","39","2"
"charlton athletic","2002-03","premier league","30","3","2","0","1","0","-","-","33","3"
"charlton athletic","2003-04","premier league","21","0","1","0","0","0","-","-","22","0"
"charlton athletic","2004-05","premier league","28","1","3","0","0","0","-","-","31","1"
"charlton athletic","charlton athletic total","charlton athletic total","149","5","10","0","9","1","-","-","168","6"
"tottenham hotspur","2003-04","premier league","12","0","0","0","3","0","-","-","15","0"
"west ham united","2005-06","premier league","37","1","7","1","1","0","-","-","46","2"
"west ham united","2006-07","premier league","22","0","0","0","1","0","2","0","25","0"
"west ham united","west ham united total","west ham united total","59","1","7","1","2","0","2","0","80","2"
"fulham","2007-08","premier league","33","0","2","0","2","0","-","-","37","0"
"fulham","2008-09","premier league","36","1","5","0","1","0","-","-","42","1"
"fulham","2009-10","premier league","27","1","2","0","0","0","13","0","42","1"
"fulham","2010-11","premier league","1","0","0","0","0","0","-","-","1","0"
"fulham","fulham total","fulham total","97","2","9","0","3","0","13","0","122","2"
"liverpool","2010-11","premier league","15","0","0","0","0","0","3","0","18","0"
"nottingham forest","2010-11","championship","15","1","0","0","0","0","-","-","15","1"
"leicester city","2011-12","championship","42","2","5","0","1","0","-","-","48","2"
"leicester city","2012-13","championship","39","1","3","0","2","0","-","-","44","1"
"leicester city","2013-14","championship","31","1","1","0","2","0","-","-","34","1"
"leicester city","2014-15","premier league","26","1","2","0","1","0","-","-","29","1"
"leicester city","leicester city total","leicester city total","138","5","11","0","6","0","-","-","155","5"
"queens park rangers","2015-16","championship","34","0","0","0","0","0","-","-","34","0"
"gillingham","2016-17","league one","25","0","1","0","3","0","-","-","29","0"
"billericay town","2016-17","isthmian league premier division","12","0","0","0","0","0","-","-","12","0"
"billericay town","2017-18","isthmian league premier division","11","0","0","0","0","0","-","-","11","0"
"billericay town","billericay town total","billericay town total","23","0","0","0","0","0","-","-","23","0"
"east thurrock united","2018-19","national league south","5","0","0","0","0","0","-","-","5","0"
"total","total","total","570","14","38","1","23","1","21","0","652","16"
