"club","season","league","league","league","cup","cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"austria wien ii","2008-09","austrian first league","8","2","-","-","8","2","none","none","none","none"
"austria wien","2008-09","austrian bundesliga","16","0","0","0","-","-","1","0","17","0"
"austria wien","2009-10","austrian bundesliga","32","0","1","0","-","-","9","0","42","0"
"austria wien","2010-11","austrian bundesliga","18","1","2","0","-","-","6","0","26","1"
"austria wien","total","total","66","1","3","0","-","-","16","0","85","1"
"fc basel","2010-11","swiss super league","16","0","1","0","-","-","0","0","17","0"
"fc basel","2011-12","swiss super league","28","1","3","0","-","-","8","0","39","1"
"fc basel","2012-13","swiss super league","32","3","3","0","-","-","19","0","54","3"
"fc basel","2013-14","swiss super league","1","0","0","0","-","-","0","0","1","0"
"fc basel","total","total","77","4","7","0","-","-","27","0","111","4"
"dynamo kyiv","2013-14","ukrainian premier league","21","0","5","0","-","-","9","0","35","0"
"dynamo kyiv","2014-15","ukrainian premier league","24","0","6","1","-","-","11","0","41","1"
"dynamo kyiv","2015-16","ukrainian premier league","17","0","4","0","-","-","9","1","30","1"
"dynamo kyiv","2016-17","ukrainian premier league","4","0","0","0","-","-","1","0","5","0"
"dynamo kyiv","total","total","66","0","15","1","-","-","30","1","111","2"
"bayer leverkusen","2016-17","bundesliga","19","0","1","0","-","-","3","0","23","0"
"bayer leverkusen","2017-18","bundesliga","1","0","0","0","-","-","0","0","1","0"
"bayer leverkusen","2018-19","bundesliga","15","2","2","0","-","-","6","0","23","2"
"bayer leverkusen","total","total","35","2","3","0","-","-","9","0","47","2"
"leicester city","2017-18","premier league","11","0","2","0","3","0","-","-","16","0"
"career total","career total","career total","263","9","30","1","3","0","82","1","379","11"
