"type of help from primary caregiver","total - 65 years and over","total - 65 years and over","65 to 74 years","65 to 74 years","75 to 84 years","75 to 84 years","85 years and over","85 years and over"
"type of help from primary caregiver","women","men","women","men","women","men","women","men"
"type of help from primary caregiver","percentage","percentage","percentage","percentage","percentage","percentage","percentage","percentage"
"transportation","79","66","73","62","76","64","88","78"
"household chores","54","47","56","43","51","49","57","49"
"house maintenance or outdoor work","40","44","44","38","37","46","42","49"
"personal care","27","24","20","24","27","25","33","22"
"medical treatments","27","36","19","35","26","38","35","32"
"scheduling or coordinating care-related tasks","40","46","26","41","37","47","54","54"
"banking, bill paying, or managing finances","45","42","31","38","43","44","60","42"
"other","2","f","f","f","f","f","f","f"
