"season","team","games","games","rushing","rushing","rushing","rushing","rushing","receiving","receiving","receiving","receiving","receiving","fumbles","fumbles"
"season","team","gp","gs","att","yds","avg","lng","td","rec","yds","avg","lng","td","fum","lost"
"2011","no","10","4","122","474","3.9","35t","5","11","46","4.2","9","0","1","1"
"2012","no","16","5","156","602","3.9","31","5","6","29","4.8","16","0","0","0"
"2013","no","11","3","78","386","4.9","34","1","7","68","9.7","23","0","0","0"
"2014","no","13","9","226","964","4.3","31","9","29","145","5.0","14","0","3","1"
"2015","no","12","10","166","769","4.6","70","6","50","405","8.1","59","0","2","1"
"2016","no","16","14","205","1,043","5.1","75t","6","46","319","6.9","22","4","2","2"
"2017","no","16","13","230","1,124","4.9","72","12","58","416","7.2","54","0","3","3"
"2018","no","12","6","138","645","4.7","38","6","21","170","8.1","28t","1","3","1"
"career","career","106","64","1,321","6,007","4.5","75","50","228","1,598","7.0","59","5","14","9"
"source:","source:","source:","source:","source:","source:","source:","source:","source:","source:","source:","source:","source:","source:","source:","source:"
