"year","team","g","punting","punting","punting","punting","punting"
"year","team","g","punts","yds","lng","blk","avg"
"2000","oak","16","65","2,984","69","1","45.9"
"2001","oak","16","73","3,375","65","1","46.2"
"2002","oak","14","53","2,251","70","0","42.5"
"2003","oak","16","96","4,503","73","0","46.9"
"2004","oak","16","73","3,409","67","0","46.7"
"2005","oak","16","82","3,744","64","0","45.7"
"2006","oak","16","77","3,660","67","1","47.5"
"2007","oak","16","73","3,585","70","0","49.1"
"2008","oak","16","90","4,391","70","0","48.8"
"2009","oak","16","96","4,909","70","0","51.1"
"2010","oak","16","77","3,618","68","0","47.0"
"2011","oak","16","78","3,960","80","0","50.8"
"2012","oak","16","81","3,826","68","1","47.2"
"2013","hou","16","88","4,189","65","0","47.6"
"2014","hou","16","83","3,845","71","1","46.3"
"2015","hou","16","95","4,497","64","0","47.3"
"2016","hou","16","72","3,423","62","0","47.5"
"2017","hou","16","92","4,507","68","0","49.0"
"career","career","286","1,444","68,678","80","5","47.6"
