"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total","ref"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","ref"
"excelsior","2000-01","eerste divisie","31","12","","","-","-","31","12","","none","none"
"excelsior","2001-02","eerste divisie","32","15","","","-","-","32","15","","none","none"
"excelsior","total","total","63","27","0","0","0","0","0","0","63","27","-"
"feyenoord","2002-03","eredivisie","31","18","","","7","0","1","0","39","18",""
"feyenoord","2003-04","eredivisie","34","15","","","4","2","-","-","38","17",""
"feyenoord","2004-05","eredivisie","15","2","","","6","0","-","-","21","2",""
"feyenoord","total","total","80","35","0","0","17","2","1","0","98","37","-"
"rangers","2004-05","scottish premier league","10","1","","","0","0","5","3","15","4",""
"rangers","2005-06","scottish premier league","24","4","","","7","1","5","0","36","5",""
"rangers","2006-07","scottish premier league","16","3","","","5","1","0","0","21","4",""
"rangers","2007-08","scottish premier league","1","0","1","0","2","0","0","0","4","0",""
"rangers","total","total","51","8","1","0","14","2","10","3","76","13","-"
"cercle brugge","2008-09","belgian first division","30","3","","","-","-","30","3","","none","none"
"cercle brugge","2009-10","belgian pro league","5","2","","","-","-","-","-","2","5",""
"cercle brugge","total","total","35","5","0","0","0","0","0","0","35","5","-"
"genk","2009-10","belgian pro league","25","4","2","0","-","-","9","3","36","7",""
"genk","2010-11","belgian pro league","26","1","2","0","2","0","7","0","37","1",""
"genk","2011-12","belgian pro league","26","8","1","0","9","1","8","0","44","9",""
"genk","2012-13","belgian pro league","29","4","5","1","11","2","10","0","55","7",""
"genk","2013-14","belgian pro league","26","3","1","0","9","1","10","3","46","7",""
"genk","2014-15","belgian pro league","28","3","1","0","0","0","6","3","35","6",""
"genk","2015-16","belgian pro league","28","6","4","1","0","0","12","3","44","10",""
"genk","2016-17","belgian first division a","21","2","2","0","17","4","10","2","50","8",""
"genk","2017-18","belgian first division a","26","3","6","1","0","0","9","0","41","4",""
"genk","total","total","235","34","24","3","48","8","81","14","388","59","-"
"career total","career total","career total","464","109","25","3","79","12","92","17","660","141","-"
