"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"atlanta","2011-12","primera b nacional","25","0","0","0","-","-","0","0","25","0"
"atlanta","2012-13","primera b metropolitana","40","4","0","0","-","-","2","0","42","4"
"atlanta","2013-14","primera b metropolitana","24","0","1","0","-","-","2","0","27","0"
"atlanta","2014","primera b metropolitana","9","0","0","0","-","-","0","0","9","0"
"atlanta","2015","primera b metropolitana","23","1","3","0","-","-","1","0","27","1"
"atlanta","total","total","121","5","4","0","-","-","5","0","130","5"
"guillermo brown","2016","primera b nacional","6","0","0","0","-","-","0","0","6","0"
"deportivo moron","2016-17","primera b metropolitana","32","4","3","0","-","-","0","0","35","4"
"deportivo moron","2017-18","primera b nacional","18","0","3","1","-","-","0","0","21","1"
"deportivo moron","total","total","50","4","6","1","-","-","0","0","56","5"
"almirante brown","2018-19","primera b metropolitana","24","0","0","0","-","-","0","0","24","0"
"career total","career total","career total","201","9","10","1","-","-","5","0","216","10"
