"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"stoke city","1998-99","second division","2","0","0","0","0","0","0","0","2","0"
"stoke city","1999-2000","second division","42","1","1","0","4","0","8","0","55","1"
"stoke city","2000-01","second division","21","0","2","0","6","0","5","1","34","1"
"stoke city","2001-02","second division","43","1","3","0","1","0","4","0","51","1"
"stoke city","2002-03","first division","31","3","0","0","1","0","-","-","32","3"
"stoke city","2003-04","first division","42","3","2","0","2","0","-","-","46","3"
"stoke city","2004-05","championship","42","1","1","0","1","0","-","-","44","1"
"stoke city","total","total","223","9","9","0","15","0","17","1","264","10"
"west ham united","2005-06","premier league","2","0","0","0","1","0","-","-","3","0"
"sunderland","2006-07","championship","4","0","0","0","0","0","-","-","4","0"
"coventry city","2006-07","championship","12","0","0","0","0","0","-","-","12","0"
"leicester city","2007-08","championship","2","0","0","0","0","0","-","-","2","0"
"career total","career total","career total","243","9","9","0","16","0","17","1","285","10"
