"club","season","league","league","league","national cup","national cup","league cup","league cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"benfica b","2013-14","segunda liga","38","7","-","-","38","7","none","none","none","none","none","none"
"benfica","2013-14","primeira liga","1","0","1","0","1","0","0","0","-","-","3","0"
"monaco","2014-15","ligue 1","15","2","1","1","2","0","3","0","-","-","21","3"
"monaco","2014-15","ligue 1","17","7","2","0","1","0","4","0","-","-","24","7"
"monaco","2015-16","ligue 1","32","7","3","0","1","0","8","0","-","-","44","7"
"monaco","2016-17","ligue 1","37","8","3","0","3","0","15","3","-","-","58","11"
"monaco","total","total","86","22","8","0","5","0","27","3","-","-","126","25"
"manchester city","2017-18","premier league","35","6","3","1","6","1","9","1","-","-","53","9"
"manchester city","2018-19","premier league","33","7","3","2","2","0","8","4","1","0","47","13"
"manchester city","total","total","67","13","6","3","8","1","17","4","1","0","100","22"
"career total","career total","career total","206","44","15","3","16","1","46","7","1","0","287","57"
