"season","team","games","games","rushing","rushing","rushing","rushing","rushing","receiving","receiving","receiving","receiving","receiving","fumbles","fumbles"
"season","team","gp","gs","att","yds","avg","lng","td","rec","yds","avg","lng","td","fum","lost"
"2012","tb","16","16","319","1,454","4.6","70t","11","49","472","9.6","64t","1","1","1"
"2013","tb","6","6","127","456","3.6","28","1","12","66","5.5","13","0","2","1"
"2014","tb","11","11","134","494","3.7","63","2","13","64","4.9","20","0","-","-"
"2015","tb","16","16","288","1,402","4.9","84","6","33","271","8.2","25","1","5","5"
"2016","tb","8","8","144","421","2.9","17","3","14","134","9.6","27","0","1","1"
"2017","tb","11","8","138","406","2.9","27","3","9","84","9.3","17","0","1","1"
"2018","oak","16","9","172","723","4.2","29","4","18","116","6.4","23","0","3","3"
"total","total","84","74","1,322","5,356","4.1","84","30","148","1,207","8.2","64t","2","12","11"
