"age group","total population","persons without disabilities","persons with disabilities","prevalence of disability"
"age group","number","number","number","percent"
"total - aged 15 years and over","28,008,860","21,762,230","6,246,640","22.3"
"15 to 24 years","4,155,440","3,609,040","546,410","13.1"
"25 to 64 years","18,636,250","14,908,330","3,727,920","20.0"
"25 to 44 years","8,940,410","7,572,150","1,368,270","15.3"
"45 to 64 years","9,695,840","7,336,190","2,359,650","24.3"
"65 years and over","5,217,160","3,244,860","1,972,310","37.8"
"65 to 74 years","3,241,250","2,204,670","1,036,580","32.0"
"75 years and over","1,975,920","1,040,190","935,730","47.4"
