"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"atlanta silverbacks","2014","nasl","25","2","3","1","-","-","28","3","none","none"
"wilmington hammerheads","2015","usl","1","0","0","0","-","-","1","0","none","none"
"new york city","2015","mls","27","4","1","2","-","-","28","6","none","none"
"new york city","2016","mls","7","1","1","0","-","-","8","1","none","none"
"new york city","total","total","34","5","2","2","none","none","none","none","36","7"
"miami","2016","nasl","20","6","0","0","-","-","20","6","none","none"
"miami","2017","nasl","30","7","5","2","-","-","35","9","none","none"
"miami","total","total","50","13","5","2","none","none","none","none","55","15"
"anzhi makhachkala","2017-18","russian premier league","3","0","0","0","-","-","1","1","4","1"
"tampa bay rowdies","2018","usl","16","1","0","0","-","-","16","1","none","none"
"career total","career total","career total","129","21","10","5","0","0","1","1","140","27"
