"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"godoy cruz","2013-14","primera division","0","0","0","0","-","-","0","0","0","0"
"godoy cruz","2014","primera division","0","0","0","0","0","0","0","0","0","0"
"godoy cruz","total","total","0","0","0","0","0","0","0","0","0","0"
"union mar del plata","2015","primera b nacional","18","0","0","0","-","-","0","0","18","0"
"independiente rivadavia","2016","primera b nacional","1","0","0","0","-","-","0","0","1","0"
"gutierrez","2016-17","torneo federal a","23","2","0","0","-","-","6","0","29","2"
"independiente rivadavia","2017-18","primera b nacional","8","0","0","0","-","-","0","0","8","0"
"independiente rivadavia","2018-19","primera b nacional","0","0","0","0","-","-","0","0","0","0"
"independiente rivadavia","total","total","8","0","0","0","-","-","0","0","8","0"
"career total","career total","career total","50","2","0","0","0","0","6","0","56","2"
