"selected incident characteristics","north","north","south","south","percent difference"
"selected incident characteristics","number","percent","number","percent","percent difference"
"relationship between accused and victim","","","","",""
"stranger","2","3","20","9","-5"
"known to the victim","59","97","211","90","7"
"intimate partner or spouse","23","38","76","32","5"
"family member","15","25","86","37","-12"
"casual acquaintance","16","26","24","10","16"
"relationship by sex","","","","",""
"female victim, male accused","53","87","172","74","13"
"female victim, female accused","8","13","62","27","-13"
"age of accused","","","","",""
"12 to 24","38","62","92","39","23"
"12 to 17","12","20","17","7","12"
"18 to 24","26","43","75","32","11"
"25 to 89","23","38","142","61","-23"
"intoxicating substance used by accused","","","","",""
"no intoxicating substance","8","14","60","38","-24"
"alcohol, drugs or both","49","86","97","62","24"
"accused previous conviction","","","","",""
"no previous conviction","27","44","121","52","-7"
"any previous conviction","34","56","111","47","8"
"violent offence","23","38","78","33","4"
"non-violent or other offence","11","18","33","14","4"
"total single victims with single accused","61","100","234","100","0"
