"club","season","division","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"port vale","1978-79","fourth division","8","1","0","0","0","0","0","0","8","1"
"port vale","1979-80","fourth division","11","0","0","0","0","0","0","0","11","0"
"port vale","1980-81","fourth division","31","9","5","1","0","0","0","0","36","10"
"port vale","1981-82","fourth division","46","8","5","1","4","0","0","0","55","9"
"port vale","total","total","96","18","10","2","4","0","0","0","110","20"
"stoke city","1982-83","first division","36","6","1","0","2","0","0","0","39","6"
"stoke city","1983-84","first division","40","7","1","0","5","0","0","0","46","7"
"stoke city","1984-85","first division","28","1","2","1","2","0","0","0","32","2"
"stoke city","1985-86","second division","7","3","0","0","0","0","0","0","7","3"
"stoke city","total","total","111","17","4","1","9","0","0","0","124","18"
"sheffield wednesday","1985-86","first division","21","2","5","1","1","0","0","0","27","3"
"sheffield wednesday","1986-87","first division","24","5","4","0","2","0","1","0","31","5"
"sheffield wednesday","1987-88","first division","21","1","3","0","4","1","2","0","30","2"
"sheffield wednesday","total","total","66","8","12","1","7","1","3","0","88","10"
"portsmouth","1988-89","second division","28","6","0","0","0","0","2","0","30","6"
"portsmouth","1989-90","second division","38","6","1","0","3","0","1","0","43","6"
"portsmouth","1990-91","second division","25","2","3","1","1","1","0","0","29","4"
"portsmouth","1991-92","second division","16","1","3","0","4","0","1","0","24","1"
"portsmouth","1992-93","division one","41","4","1","0","2","0","4","0","48","4"
"portsmouth","1993-94","division one","19","1","0","0","3","0","2","0","24","1"
"portsmouth","total","total","167","20","8","1","13","1","10","0","198","22"
"brighton & hove albion","1994-95","division two","19","2","1","0","3","1","1","0","24","3"
"exeter city","1995-96","division three","33","1","0","0","2","0","1","0","36","1"
"exeter city","1996-97","division three","26","3","1","0","2","0","2","0","31","3"
"exeter city","total","total","59","4","1","0","4","0","3","0","67","4"
"career total","career total","career total","518","69","36","5","40","3","17","0","611","77"
