"","main sample","main sample","canadian-born sample","canadian-born sample"
"","percentage points","percent of overall gap","percentage points","percent of overall gap"
"gelbach decomposition","","","",""
"overall gap","0.385","..","0.459",".."
"explained gap","0.324","84.2","0.365","94.7"
"share of income gap in resp participation accounted for by","","","",""
"demographics","-0.053","-13.8","0.003","0.8"
"net worth","0.276","71.7","0.301","78.2"
"education","0.029","7.5","0.051","13.2"
"financial literacy","0.072","18.7","0.046","11.9"
"oaxaca-blinder decomposition","","","",""
"overall gap","0.385","..","0.459",".."
"explained gap","0.279","72.5","0.360","93.5"
"share of income gap in resp participation accounted for by","","","",""
"demographics","-0.090","-23.4","-0.024","-6.2"
"net worth","0.304","79.0","0.320","83.1"
"education","0.016","4.2","0.034","8.8"
"financial literacy","0.050","13.0","0.030","7.8"
