"type of violent crime","current / former spouse","current / former spouse","intimate relationship","intimate relationship","other family","other family","acquaintance","acquaintance","stranger","stranger","total","total"
"type of violent crime","number","percent","number","percent","number","percent","number","percent","number","percent","number","percent"
"homicide","53","36.1","17","11.6","42","28.6","26","17.7","9","6.1","147","100.0"
"attempted murder","45","23.3","29","15.0","44","22.8","28","14.5","47","24.4","193","100.0"
"other violations causing death","1","2.8","1","2.8","7","19.4","10","27.8","17","47.2","36","100.0"
"sexual assaults - all levels","923","5.0","1,991","10.7","3,549","19.1","8,235","44.3","3,904","21.0","18,602","100.0"
"other sexual violations","26","0.6","408","9.6","1,378","32.5","1,631","38.5","795","18.8","4,238","100.0"
"assault - level 3 - aggravated","167","18.7","348","38.9","103","11.5","177","19.8","99","11.1","894","100.0"
"assault - level 2 - weapon or bodily harm","3,575","20.1","4,808","27.1","2,838","16.0","4,152","23.4","2,369","13.4","17,742","100.0"
"assault - level 1 - common assault","20,426","24.2","24,613","29.2","13,594","16.1","18,368","21.8","7,419","8.8","84,420","100.0"
"other types of assaults","110","4.9","153","6.8","71","3.1","664","29.4","1,257","55.7","2,255","100.0"
"forcible confinement, kidnapping or abduction","916","28.1","1,373","42.1","259","7.9","372","11.4","345","10.6","3,265","100.0"
"robbery","69","1.1","217","3.5","65","1.0","650","10.5","5,216","83.9","6,217","100.0"
"extortion","39","5.4","149","20.5","49","6.7","234","32.2","255","35.1","726","100.0"
"criminal harassment","2,203","21.5","3,025","29.5","598","5.8","3,361","32.8","1,053","10.3","10,240","100.0"
"threatening or harassing phone calls","344","9.4","895","24.5","296","8.1","1,302","35.6","818","22.4","3,655","100.0"
"uttering threats","2,910","14.3","2,960","14.5","3,093","15.2","8,475","41.5","2,960","14.5","20,398","100.0"
"commodification of sexual activity","0","0.0","1","9.1","0","0.0","10","90.9","0","0.0","11","100.0"
"other violent criminal code violations","152","11.1","149","10.9","186","13.6","543","39.8","335","24.5","1,365","100.0"
"total","31,959","18.3","41,137","23.6","26,172","15.0","48,238","27.7","26,898","15.4","174,404","100.0"
