"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"parana","2007","serie a","29","2","none","none","none","none","none","none","29","2"
"parana","2008","serie b","17","2","4","0","none","none","none","none","21","2"
"parana","total","total","46","4","4","0","0","0","0","0","50","4"
"flamengo","2008","serie a","10","0","none","none","none","none","none","none","10","0"
"flamengo","2009","serie a","28","2","2","0","2","0","9","2","41","4"
"flamengo","total","total","38","2","2","0","2","0","9","2","51","4"
"tigres uanl","2009-10","liga mx","7","0","none","none","none","none","none","none","7","0"
"tigres uanl","2010-11","liga mx","8","2","none","none","none","none","none","none","8","2"
"tigres uanl","total","total","15","0","0","0","0","0","0","0","15","2"
"botafogo","2011","serie a","17","0","2","0","1","0","11","1","31","1"
"botafogo","total","total","17","0","2","0","1","0","11","1","31","1"
"suwon","2012","k-league","29","7","0","0","0","0","0","0","29","7"
"suwon","total","total","29","7","0","0","0","0","0","0","29","7"
"atletico paranaense","2013","serie a","33","3","11","1","none","none","none","none","44","4"
"atletico paranaense","total","total","33","3","11","1","0","0","0","0","44","4"
"flamengo","2014","serie a","28","4","6","1","6","3","9","2","49","10"
"flamengo","2015","serie a","33","4","4","0","none","none","10","2","47","6"
"flamengo","2016","serie a","30","3","1","0","1","1","9","1","41","5"
"flamengo","2017","serie a","27","4","6","1","11","1","12","4","56","10"
"flamengo","2018","serie a","0","0","0","0","2","1","9","2","11","3"
"flamengo","total","total","118","15","17","2","20","6","49","11","204","34"
"sao paulo","2018","serie a","7","2","0","0","0","0","none","none","7","2"
"sao paulo","total","total","7","2","0","0","0","0","0","0","7","2"
"career total","career total","career total","303","33","36","3","23","6","68","14","431","55"
