"club","season","league","league","league","cup","cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"vitoria guimaraes","2008-09","primeira liga","1","0","0","0","-","-","1","0"
"vitoria guimaraes","2009-10","primeira liga","0","0","0","0","-","-","0","0"
"vitoria guimaraes","2011-12","primeira liga","0","0","0","0","0","0","0","0"
"vitoria guimaraes","2012-13","primeira liga","0","0","0","0","-","-","0","0"
"vitoria guimaraes","2013-14","primeira liga","0","0","0","0","-","-","0","0"
"vitoria guimaraes","total","total","1","0","0","0","0","0","1","0"
"gondomar","2009-10","portuguese second division","9","0","0","0","-","-","9","0"
"lousada","2010-11","portuguese second division","8","0","0","0","-","-","8","0"
"deportivo b","2010-11","segunda division b","11","0","-","-","11","0","none","none"
"trofense","2011-12","segunda liga","13","0","1","0","-","-","14","0"
"delhi dynamos","2014","indian super league","6","0","-","-","6","0","none","none"
"istra 1961","2014-15","croatian first football league","8","0","1","0","-","-","9","0"
"career total","career total","career total","56","0","2","0","0","0","58","0"
