"province and territory","2005/2006","2006/2007","2007/2008","2008/2009","2009/2010","2010/2011","2011/2012","2012/2013","2013/2014"
"province and territory","number of completed cases","number of completed cases","number of completed cases","number of completed cases","number of completed cases","number of completed cases","number of completed cases","number of completed cases","number of completed cases"
"newfoundland and labrador","","","","","","","","",""
"include offences against the administration of justice","1,635","1,543","1,755","1,733","1,818","1,901","1,891","1,824","1,821"
"exclude offences against the administration of justice","3,430","3,265","3,474","3,665","3,949","3,881","4,067","3,615","3,329"
"total","5,065","4,808","5,229","5,398","5,767","5,782","5,958","5,439","5,150"
"prince edward island","","","","","","","","",""
"include offences against the administration of justice","294","328","336","349","369","400","368","443","427"
"exclude offences against the administration of justice","977","1,096","1,088","979","1,078","1,134","1,034","989","885"
"total","1,271","1,424","1,424","1,328","1,447","1,534","1,402","1,432","1,312"
"nova scotia","","","","","","","","",""
"include offences against the administration of justice","3,449","3,733","4,487","4,710","4,889","4,603","4,618","4,330","4,116"
"exclude offences against the administration of justice","8,368","8,012","8,106","8,248","8,635","8,664","7,791","7,578","7,369"
"total","11,817","11,745","12,593","12,958","13,524","13,267","12,409","11,908","11,485"
"new brunswick","","","","","","","","",""
"include offences against the administration of justice","2,176","2,358","2,447","2,542","2,797","2,753","2,794","2,812","2,718"
"exclude offences against the administration of justice","5,379","5,299","5,294","5,647","5,914","5,701","5,427","4,972","4,623"
"total","7,555","7,657","7,741","8,189","8,711","8,454","8,221","7,784","7,341"
"quebec","","","","","","","","",""
"include offences against the administration of justice","17,856","18,750","19,278","20,402","21,440","21,527","22,565","24,108","20,195"
"exclude offences against the administration of justice","49,835","49,322","47,545","48,861","49,020","46,232","46,945","49,943","42,649"
"total","67,691","68,072","66,823","69,263","70,460","67,759","69,510","74,051","62,844"
"ontario","","","","","","","","",""
"include offences against the administration of justice","52,208","54,406","55,242","55,387","54,997","56,092","52,062","50,000","47,847"
"exclude offences against the administration of justice","95,599","94,974","96,324","96,426","101,781","105,263","99,347","94,399","86,043"
"total","147,807","149,380","151,566","151,813","156,778","161,355","151,409","144,399","133,890"
"manitoba","","","","","","","","",""
"include offences against the administration of justice","8,223","7,670","8,312","9,045","9,570","10,033","9,914","10,921","10,692"
"exclude offences against the administration of justice","9,628","8,894","8,265","8,527","9,025","9,075","8,756","8,175","8,366"
"total","17,851","16,564","16,577","17,572","18,595","19,108","18,670","19,096","19,058"
"saskatchewan","","","","","","","","",""
"include offences against the administration of justice","9,959","8,366","10,757","10,910","11,291","12,550","11,423","11,756","11,550"
"exclude offences against the administration of justice","11,451","9,288","11,370","11,695","12,207","12,608","11,957","12,025","11,503"
"total","21,410","17,654","22,127","22,605","23,498","25,158","23,380","23,781","23,053"
"alberta","","","","","","","","",""
"include offences against the administration of justice","22,012","23,240","25,081","24,161","24,411","24,017","24,300","23,826","24,000"
"exclude offences against the administration of justice","31,709","31,418","31,867","33,716","35,444","33,813","31,987","31,997","32,346"
"total","53,721","54,658","56,948","57,877","59,855","57,830","56,287","55,823","56,346"
"british columbia","","","","","","","","",""
"include offences against the administration of justice","13,010","14,370","15,725","15,493","15,354","14,991","15,524","14,600","14,413"
"exclude offences against the administration of justice","31,237","30,536","32,096","31,507","31,290","29,573","26,512","24,824","21,437"
"total","44,247","44,906","47,821","47,000","46,644","44,564","42,036","39,424","35,850"
"yukon","","","","","","","","",""
"include offences against the administration of justice","417","411","459","456","575","502","461","494","525"
"exclude offences against the administration of justice","478","491","537","501","553","591","528","437","460"
"total","895","902","996","957","1,128","1,093","989","931","985"
"northwest territories","","","","","","","","",""
"include offences against the administration of justice","594","509","675","906","942","1,022","933","763","654"
"exclude offences against the administration of justice","858","729","851","883","1,078","1,069","963","815","811"
"total","1,452","1,238","1,526","1,789","2,020","2,091","1,896","1,578","1,465"
"nunavut","","","","","","","","",""
"include offences against the administration of justice","594","617","770","896","747","910","914","930","818"
"exclude offences against the administration of justice","946","912","1,052","1,052","877","1,052","1,035","1,038","1,043"
"total","1,540","1,529","1,822","1,948","1,624","1,962","1,949","1,968","1,861"
"canada","","","","","","","","",""
"include offences against the administration of justice","132,427","136,301","145,324","146,990","149,200","151,301","147,767","146,807","139,776"
"exclude offences against the administration of justice","249,895","244,236","247,869","251,707","260,851","258,656","246,349","240,807","220,864"
"total","382,322","380,537","393,193","398,697","410,051","409,957","394,116","387,614","360,640"
