"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"port vale","1977-78","third division","2","0","0","0","0","0","2","0"
"port vale","1978-79","fourth division","23","0","1","0","1","0","25","0"
"port vale","1979-80","fourth division","39","3","1","0","0","0","40","3"
"port vale","1980-81","fourth division","44","1","4","0","2","0","50","1"
"port vale","1981-82","fourth division","42","6","5","0","4","0","51","6"
"port vale","1982-83","fourth division","42","4","1","0","2","0","45","4"
"port vale","1983-84","third division","38","2","0","0","6","2","44","4"
"port vale","1984-85","fourth division","44","3","3","0","7","0","54","3"
"port vale","1985-86","fourth division","44","4","4","0","6","1","54","5"
"port vale","1986-87","third division","44","5","2","0","6","0","52","5"
"port vale","1987-88","third division","44","3","7","2","3","0","54","5"
"port vale","1988-89","third division","20","2","3","1","6","2","29","5"
"port vale","total","total","426","33","31","3","43","5","500","41"
"birmingham city","1989-90","third division","12","0","0","0","4","1","16","1"
"career total","career total","career total","438","33","31","3","47","6","516","42"
