"province","women","women","women","men","men","men"
"province","percent","95% confidence interval","95% confidence interval","percent","95% confidence interval","95% confidence interval"
"province","percent","from","to","percent","from","to"
"physical assault","","","","","",""
"newfoundland and labrador","21.5","18.5","24.8","26.3","22.7","30.3"
"prince edward island","30.3","26.0","35.0","29.6","24.5","35.2"
"nova scotia","28.0","25.3","31.0","39.7","36.2","43.4"
"new brunswick","23.9","21.2","26.8","30.1","26.9","33.5"
"quebec","20.8","19.2","22.6","26.1","24.3","28.0"
"ontario","26.6","24.7","28.6","33.4","31.3","35.6"
"manitoba","28.6","26.0","31.3","36.5","33.6","39.6"
"saskatchewan","25.6","23.7","27.7","36.5","33.9","39.3"
"alberta","30.5","28.2","32.8","39.1","36.6","41.5"
"british columbia","29.5","27.4","31.6","38.7","36.3","41.2"
"provinces","26.1","25.2","27.1","33.3","32.2","34.4"
"sexual assault","","","","","",""
"newfoundland and labrador","25.4","22.3","29.0","8.2","6.1","10.9"
"prince edward island","34.6","30.2","39.0","6.1","4.0","9.3"
"nova scotia","33.1","30.3","36.0","9.6","7.8","11.8"
"new brunswick","28.5","25.6","32.0","9.8","7.8","12.3"
"quebec","24.5","22.8","26.0","5.7","4.9","6.6"
"ontario","29.8","27.9","32.0","8.2","7.1","9.4"
"manitoba","31.7","29.2","34.0","8.9","7.3","10.9"
"saskatchewan","30.9","28.8","33.0","7.9","6.5","9.5"
"alberta","35.3","32.9","38.0","9.4","8.0","11.0"
"british columbia","36.5","34.4","39.0","11.1","9.6","12.7"
"provinces","30.2","29.3","31.0","8.2","7.7","8.8"
"total violent victimization","","","","","",""
"newfoundland and labrador","32.3","29.0","35.8","28.4","24.7","32.3"
"prince edward island","42.9","38.3","47.5","30.9","25.8","36.6"
"nova scotia","41.6","38.6","44.7","41.9","38.3","45.6"
"new brunswick","37.8","34.6","41.0","32.5","29.3","35.9"
"quebec","31.7","29.9","33.6","28.2","26.3","30.1"
"ontario","38.9","36.9","41.0","35.5","33.3","37.8"
"manitoba","41.5","38.8","44.2","39.1","36.1","42.2"
"saskatchewan","38.4","36.2","40.7","37.9","35.2","40.6"
"alberta","44.1","41.6","46.6","40.7","38.3","43.2"
"british columbia","44.5","42.3","46.8","40.9","38.5","43.4"
"provinces","38.7","37.7","39.7","35.3","34.3","36.4"
