"country","capped","capped","uncapped","uncapped","total","total"
"country","entered","sold","entered","sold","entered","sold"
"india","50","34","255","70","305","104"
"australia","44","20","14","1","58","21"
"south africa","28","8","12","1","40","9"
"west indies","28","7","8","1","36","8"
"sri lanka","27","2","0","0","27","2"
"new zealand","21","6","1","0","22","6"
"england","12","1","2","0","14","1"
"bangladesh","4","1","0","0","4","1"
"zimbabwe","2","1","0","0","2","1"
"ireland","0","0","2","0","2","0"
"netherlands","0","0","1","1","1","1"
"total","216","80","295","74","511","154"
