"year","team","games","games","kick return","kick return","kick return","kick return","kick return","kick return","kick return","punt return","punt return","punt return","punt return","punt return","punt return","punt return","punt return","punt return"
"year","team","gp","gs","ret","yds","avg","lng","tds","+20","+40","ret","yds","avg","lng","tds","+20","+40","fc","fum"
"2010","min","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2011","min","16","3","16","445","27.8","78","0","12","1","33","277","8.4","53","0","3","1","20","0"
"2012","min","16","0","16","422","26.4","41","0","13","2","32","287","9.0","77t","1","2","1","27","1"
"2013","min","16","3","-","-","-","-","-","-","-","22","335","15.2","86t","1","5","2","27","3"
"2014","min","16","0","4","110","27.5","46","0","2","1","27","297","11.0","35","0","4","0","26","0"
"2015","min","16","0","2","33","16.5","21","0","1","0","34","311","9.1","65t","1","4","1","15","2"
"2016","min","11","0","2","35","17.5","18","0","0","0","21","292","13.9","79t","2","5","2","17","1"
"2017","min","16","0","11","271","24.6","32","0","10","0","39","372","9.5","46","0","3","1","24","1"
"career","career","108","6","51","1,316","25.8","78","0","38","4","208","2,171","10.4","86","5","26","8","156","8"
