"","total aboriginal identity female population","first nations single identity","first nations single identity","first nations single identity","metis single identity","inuit single identity","non-aboriginal identity female population"
"","total aboriginal identity female population","total","registered or treaty indian","not a registered or treaty indian","metis single identity","inuit single identity","non-aboriginal identity female population"
"total","","","","","","",""
"employment rate","60.1","55.2","51.9","64.6","67.9","58.8","71.4"
"unemployment rate","11.2","13.3","15.4","8.1","8.0","13.8","5.8"
"no certificate, diploma or degree","","","","","","",""
"employment rate","35.5","31.5","30.4","36.8","43.8","44.9","46.9"
"unemployment rate","19.8","22.6","24.5","13.7","13.3","19.7","10.4"
"high school diploma or equivalent","","","","","","",""
"employment rate","59.2","54.4","50.6","63.2","66.0","66.9","65.6"
"unemployment rate","12.2","14.9","17.3","10.2","8.8","11.0","6.6"
"postsecondary certificate, diploma or degree","","","","","","",""
"employment rate","73.1","70.6","68.6","75.6","76.6","73.4","77.7"
"unemployment rate","8.4","9.7","11.2","6.0","6.6","9.4","5.1"
"apprenticeship or trades certificate or diploma","","","","","","",""
"employment rate","64.9","61.0","58.0","67.5","68.8","67.0","72.7"
"unemployment rate","10.8","13.4","16.3","7.7","7.7","12.2","6.2"
"college, cegep or other non-university certificate or diploma","","","","","","",""
"employment rate","72.2","69.4","67.3","74.4","76.3","71.7","77.9"
"unemployment rate","8.7","9.9","11.6","6.2","7.0","10.6","5.0"
"university certificate or diploma below bachelor level","","","","","","",""
"employment rate","72.2","69.8","68.6","73.8","76.2","72.9","74.6"
"unemployment rate","9.6","11.7","12.6","8.7","6.8","6.4","5.6"
"university certificate, diploma or degree at bachelor level or above","","","","","","",""
"employment rate","81.8","80.9","79.0","85.5","83.3","86.1","79.5"
"unemployment rate","5.7","6.0","6.9","4.0","5.2","4.5","4.8"
