"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"wigan athletic","1982-83","third division","2","2","0","0","0","0","2","2"
"wrexham","1982-83","third division","9","6","0","0","0","0","9","6"
"oldham athletic","1978-79","second division","7","4","2","0","5","1","14","5"
"oldham athletic","1979-80","second division","33","10","1","0","5","1","39","11"
"oldham athletic","1980-81","second division","24","3","2","0","2","0","28","3"
"oldham athletic","1981-82","second division","37","7","1","0","6","1","44","8"
"oldham athletic","1982-83","second division","7","0","0","0","0","0","7","0"
"oldham athletic","total","total","108","24","6","0","18","3","132","27"
"port vale","1982-83","fourth division","13","3","0","0","0","0","13","3"
"port vale","1983-84","third division","15","3","1","0","3","1","19","4"
"port vale","total","total","28","6","1","0","3","1","32","7"
"wrexham","1983-84","fourth division","21","0","0","0","3","1","24","1"
"wrexham","1984-85","fourth division","45","14","1","0","8","1","54","15"
"wrexham","1985-86","fourth division","43","14","2","0","4","2","49","16"
"wrexham","1986-87","fourth division","37","17","3","1","12","3","52","21"
"wrexham","1987-88","fourth division","18","6","1","0","4","0","23","6"
"wrexham","total","total","164","51","7","1","31","7","196","59"
"tranmere rovers","1987-88","fourth division","29","7","0","0","0","0","29","7"
"tranmere rovers","1988-89","fourth division","44","7","4","1","8","1","56","9"
"tranmere rovers","1989-90","fourth division","36","5","1","0","15","4","52","9"
"tranmere rovers","1990-91","fourth division","44","6","2","1","13","6","59","13"
"tranmere rovers","1991-92","fourth division","21","4","1","0","8","5","30","9"
"tranmere rovers","total","total","174","29","8","2","44","16","226","47"
"career total","career total","career total","485","118","22","3","96","27","603","148"
