"no","pos","nat","player","total","total","third division","third division","challenge cup","challenge cup","league cup","league cup","scottish cup","scottish cup"
"no","pos","nat","player","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"none","gk","scotland","alex mitchell","38","0","34+0","0","2+0","0","0+0","0","2+0","0"
"none","gk","england","craig summersgill","3","0","2+0","0","0+0","0","1+0","0","0+0","0"
"none","df","scotland","steven black","3","0","1+2","0","0+0","0","0+0","0","0+0","0"
"none","df","scotland","jonathan blake","28","0","23+0","0","2+0","0","1+0","0","2+0","0"
"none","df","scotland","iain chisholm","11","1","11+0","1","0+0","0","0+0","0","0+0","0"
"none","df","scotland","ally love","34","12","20+10","12","2+0","0","0+1","0","0+1","0"
"none","df","scotland","michael mcgowan","41","1","36+0","1","2+0","0","1+0","0","2+0","0"
"none","df","england","steven swinglehurst","34","0","29+0","0","2+0","0","1+0","0","2+0","0"
"none","df","scotland","greig thorburn","15","1","7+5","1","2+0","0","1+0","0","0+0","0"
"none","df","scotland","lee underwood","0","0","0+0","0","0+0","0","0+0","0","0+0","0"
"none","df","scotland","peter watson","21","0","17+2","0","0+0","0","0+0","0","2+0","0"
"none","df","scotland","john watson","4","0","1+3","0","0+0","0","0+0","0","0+0","0"
"none","mf","scotland","scott chaplain","41","12","35+1","11","2+0","0","1+0","0","2+0","1"
"none","mf","scotland","david hopkirk","20","10","18+2","10","0+0","0","0+0","0","0+0","0"
"none","mf","scotland","chris jardine","35","0","28+3","0","1+0","0","1+0","0","2+0","0"
"none","mf","scotland","jordan mckechnie","25","0","10+11","0","1+0","0","0+1","0","0+2","0"
"none","mf","scotland","martin mcniff","16","2","15+1","2","0+0","0","0+0","0","0+0","0"
"none","mf","scotland","harry monaghan","15","0","11+4","0","0+0","0","0+0","0","0+0","0"
"none","mf","scotland","dan orsi","7","1","7+0","1","0+0","0","0+0","0","0+0","0"
"none","mf","scotland","steven sloan","32","0","20+9","0","1+0","0","0+0","0","2+0","0"
"none","mf","scotland","jack steele","18","0","13+2","0","1+1","0","1+0","0","0+0","0"
"none","fw","scotland","graeme bell","3","2","0+1","1","0+1","1","1+0","0","0+0","0"
"none","fw","scotland","michael daly","35","7","23+7","7","2+0","0","1+0","0","2+0","0"
"none","fw","scotland","andrew donely","12","1","3+9","1","0+0","0","0+0","0","0+0","0"
"none","fw","scotland","lewis hawke","6","0","2+4","0","0+0","0","0+0","0","0+0","0"
"none","fw","scotland","kieran mcgachie","16","1","8+4","1","0+2","0","0+0","0","0+2","0"
"none","fw","scotland","david murray","18","0","7+7","0","1+0","0","1+0","0","2+0","0"
"none","fw","scotland","graeme ramage","19","5","14+1","5","1+0","0","0+1","0","2+0","0"
