"census metropolitan area","2018 population count","2018","2018","2017r","2017r","difference from 2017","difference from 2017","average 2008 to 2017","average 2008 to 2017"
"census metropolitan area","number","number of victims","rate","number of victims","rate","number of victims","percent change in rate","number of victims","rate"
"500,000 and over population","","","","","","","","",""
"toronto","6,274,077","72","1.15","58","0.94","14","21.9","41","0.71"
"montreal","4,239,709","21","0.50","17","0.41","4","21.6","18","0.45"
"vancouver","2,650,798","21","0.79","25","0.96","-4","-17.2","20","0.83"
"calgary","1,498,941","8","0.53","15","1.02","-7","-47.6","8","0.61"
"edmonton","1,425,627","19","1.33","19","1.36","0","-2.0","14","1.11"
"ottawa","1,068,569","9","0.84","7","0.67","2","25.6","4","0.38"
"winnipeg","816,741","3","0.37","7","0.87","-4","-57.8","6","0.78"
"quebec","808,905","0","0.00","6","0.75","-6","-100.0","1","0.12"
"hamilton","770,987","4","0.52","5","0.66","-1","-21.1","2","0.33"
"kitchener-cambridge-waterloo","579,145","3","0.52","0","0.00","3","..","1","0.15"
"london","534,936","1","0.19","0","0.00","1","..","2","0.34"
"100,000 to less than 500,000 population","","","","","","","","",""
"st. catharines-niagara","472,448","1","0.21","0","0.00","1","..","1","0.11"
"oshawa","458,016","3","0.65","1","0.22","2","191.4","0","0.07"
"halifax","430,505","3","0.70","2","0.47","1","47.0","4","1.04"
"victoria","395,651","0","0.00","1","0.26","-1","-100.0","0","0.11"
"windsor","349,787","3","0.86","3","0.87","0","-1.9","1","0.21"
"gatineau","333,108","0","0.00","0","0.00","0","..","1","0.32"
"saskatoon","328,181","1","0.30","2","0.62","-1","-51.0","2","0.52"
"regina","258,386","4","1.55","2","0.79","2","95.9","1","0.48"
"barrie","228,602","0","0.00","1","0.45","-1","-100.0","0","0.05"
"kelowna","210,961","0","0.00","2","0.97","-2","-100.0","1","0.53"
"st. john's","208,289","0","0.00","0","0.00","0","..","1","0.35"
"sherbrooke","202,593","0","0.00","1","0.50","-1","-100.0","0","0.10"
"abbotsford-mission","195,726","5","2.55","7","3.62","-2","-29.5","3","1.45"
"kingston","171,043","1","0.58","1","0.60","0","-2.0","0","0.12"
"saguenay","168,743","1","0.59","0","0.00","1","..","0","0.19"
"greater sudbury","168,141","0","0.00","0","0.00","0","..","0","0.00"
"moncton","161,122","0","0.00","0","0.00","0","..","0","0.21"
"trois-rivieres","157,208","0","0.00","0","0.00","0","..","0","0.26"
"brantford","148,603","2","1.35","1","0.68","1","97.2","0","0.14"
"guelph","140,683","0","0.00","0","0.00","0","..","0","0.16"
"saint john","129,790","0","0.00","1","0.77","-1","-100.0","1","0.36"
"peterborough","128,932","1","0.78","0","0.00","1","..","0","0.00"
"thunder bay","125,373","1","0.80","0","0.00","1","..","0","0.08"
"lethbridge","123,335","0","0.00","0","0.00","0","..","..",".."
"belleville","111,584","0","0.00","1","0.98","-1","-100.0","..",".."
"cma total","26,475,245","187","0.71","185","0.71","2","-0.7","134","0.55"
"non-cma total","10,583,611","62","0.59","82","0.78","-20","-24.8","51","0.48"
"canada","37,058,856","249","0.67","267","0.73","-18","-8.0","185","0.53"
