"club","season","league","league","league","domestic cup","domestic cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"senart-moissy","2009-10","cfa group d","7","1","0","0","0","0","0","0","7","1"
"nantes","2009-10","ligue 2","13","0","0","0","0","0","0","0","13","0"
"nantes","2010-11","ligue 2","27","2","3","0","1","0","0","0","31","2"
"nantes","2011-12","ligue 2","36","4","1","0","3","0","0","0","40","4"
"nantes","2012-13","ligue 2","36","0","2","0","1","0","0","0","39","0"
"nantes","2013-14","ligue 1","28","3","1","0","1","0","0","0","30","3"
"nantes","2014-15","ligue 1","31","0","1","0","1","0","0","0","33","0"
"nantes","total","total","171","9","8","0","7","0","0","0","186","9"
"chelsea","2015-16","premier league","0","0","0","0","1","0","0","0","1","0"
"werder bremen","2015-16","bundesliga","14","2","2","0","-","-","0","0","16","2"
"sunderland","2016-17","premier league","18","0","2","0","3","0","0","0","21","0"
"sunderland","2017-18","championship","0","0","0","0","1","0","0","0","1","0"
"sunderland","total","total","18","0","2","0","4","0","0","0","22","0"
"dijon","2017-18","ligue 1","29","0","1","1","0","0","0","0","30","1"
"career total","career total","career total","239","12","13","1","12","0","0","0","262","13"
