"place of residence","total","type of municipality","type of municipality","type of municipality","demographic weight of the population with an immigrant background in the neighbourhood","demographic weight of the population with an immigrant background in the neighbourhood","demographic weight of the population with an immigrant background in the neighbourhood"
"place of residence","total","central","peripheral 1st ring","peripheral 2nd ring","less than 50%","50% to less than 70%","70% or greater"
"place of residence","number","number","number","number","number","number","number"
"total","4,192,535","1,810,780","1,662,817","718,938","1,086,098","1,301,284","1,805,153"
"","percentage","percentage","percentage","percentage","percentage","percentage","percentage"
"census metropolitan area of residence","","","","","","",""
"montreal","100","54","33","12","52","30","18"
"toronto","100","45","45","11","15","31","54"
"vancouver","100","27","31","41","33","33","34"
"total","100","43","40","17","26","31","43"
