"club","season","league","league","league","cup","cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"moscow","2006","russian premier league","8","2","0","0","-","-","-","-","8","2"
"moscow","2007","russian premier league","30","4","0","0","-","-","-","-","30","4"
"moscow","2008","russian premier league","4","0","0","0","-","-","-","-","4","0"
"moscow","total","total","42","6","0","0","0","0","0","0","42","6"
"san lorenzo","2008-09","argentine primera division","21","8","0","0","-","-","2","1","23","9"
"catania","2009-10","serie a","2","0","0","0","-","-","-","-","2","0"
"catania","2010-11","serie a","0","0","2","0","-","-","-","-","2","0"
"catania","2011-12","serie a","25","4","1","0","-","-","-","-","26","4"
"catania","2012-13","serie a","31","5","4","0","-","-","-","-","35","5"
"catania","2013-14","serie a","28","5","0","0","-","-","-","-","28","5"
"catania","total","total","86","14","7","0","0","0","0","0","93","14"
"estudiantes","2010-11","argentine primera division","13","0","0","0","-","-","6","2","19","2"
"san lorenzo","2014","argentine primera division","12","1","0","0","-","-","5","1","17","2"
"san lorenzo","2015","argentine primera division","22","1","2","0","-","-","5","0","29","1"
"san lorenzo","2016","argentine primera division","13","1","0","0","-","-","6","2","19","3"
"san lorenzo","total","total","47","3","2","0","0","0","16","3","65","6"
"toluca","2016-17","liga mx","35","8","6","0","-","-","-","-","41","8"
"toluca","2017-18","liga mx","26","2","7","1","-","-","-","-","33","3"
"toluca","total","total","61","10","13","1","0","0","0","0","74","11"
"career totals","career totals","career totals","270","41","22","1","0","0","24","6","316","48"
