"name","yugoslav first league","yugoslav first league","yugoslav cup","yugoslav cup","intertoto cup","intertoto cup","total","total"
"name","apps","goals","apps","goals","apps","goals","apps","goals"
"goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers"
"socialist federal republic of yugoslavia mirko stojanovic","22","0","4","0","0","0","26","0"
"socialist federal republic of yugoslavia petar cosic","4","0","1","0","6","0","11","0"
"socialist federal republic of yugoslavia ratomir dujkovic","0","0","0","0","4","0","4","0"
"defenders","defenders","defenders","defenders","defenders","defenders","defenders","defenders","defenders"
"socialist federal republic of yugoslavia milan cop","24","0","5","1","6","1","35","2"
"socialist federal republic of yugoslavia vladimir durkovic","20","0","5","0","0","0","25","0"
"socialist federal republic of yugoslavia slobodan skrbic","19","0","3","0","3","0","25","0"
"socialist federal republic of yugoslavia tomislav milicevic","11","0","1","0","6","0","18","0"
"socialist federal republic of yugoslavia velibor vasovic","13","0","1","0","0","0","14","0"
"socialist federal republic of yugoslavia novak tomic","13","0","0","0","1","0","14","0"
"socialist federal republic of yugoslavia blagoje mitic","5","0","0","0","6","0","11","0"
"socialist federal republic of yugoslavia zivorad jevtic","4","0","3","1","3","0","10","1"
"socialist federal republic of yugoslavia dejan bekic","0","0","2","0","3","0","5","0"
"socialist federal republic of yugoslavia mirko sekularac","0","0","0","0","5","0","5","0"
"socialist federal republic of yugoslavia dragan stojanovic","3","1","1","0","0","0","4","1"
"socialist federal republic of yugoslavia sava karapandzic","0","0","1","0","0","0","1","0"
"midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders"
"socialist federal republic of yugoslavia dragan dzajic","22","4","3","2","5","0","30","6"
"socialist federal republic of yugoslavia vladica popovic","24","0","4","0","1","0","29","0"
"socialist federal republic of yugoslavia vojislav melic","23","0","4","1","1","1","28","2"
"socialist federal republic of yugoslavia dusan maravic","15","2","3","2","0","0","18","4"
"socialist federal republic of yugoslavia nikola stipic","10","2","4","0","0","0","14","2"
"socialist federal republic of yugoslavia dragoslav sekularac","6","1","2","0","0","0","8","1"
"socialist federal republic of yugoslavia dragan popovic","4","1","1","0","2","0","7","1"
"socialist federal republic of yugoslavia sreten đurica","4","0","2","0","1","0","7","0"
"socialist federal republic of yugoslavia luka malesev","1","0","0","0","1","0","2","0"
"socialist federal republic of yugoslavia dusan andric","1","0","0","0","0","0","1","0"
"socialist federal republic of yugoslavia ljubomir milic","1","0","0","0","0","0","1","0"
"forwards","forwards","forwards","forwards","forwards","forwards","forwards","forwards","forwards"
"socialist federal republic of yugoslavia bora kostic","25","14","4","2","2","4","31","20"
"socialist federal republic of yugoslavia zoran prljincevic","22","14","2","5","4","8","28","27"
"socialist federal republic of yugoslavia selimir milosevic","2","1","1","2","0","0","3","3"
"players sold or loaned out during the season","players sold or loaned out during the season","players sold or loaned out during the season","players sold or loaned out during the season","players sold or loaned out during the season","players sold or loaned out during the season","players sold or loaned out during the season","players sold or loaned out during the season","players sold or loaned out during the season"
"socialist federal republic of yugoslavia dusan radonjic","0","0","0","0","6","0","6","0"
"socialist federal republic of yugoslavia milan zivadinovic","0","0","0","0","5","1","5","1"
"socialist federal republic of yugoslavia jovan anđelkovic","0","0","0","0","2","0","2","0"
