"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"manchester united","2006-07","premier league","0","0","0","0","0","0","0","0","0","0"
"oxford united","2006-07","conference premier","22","1","0","0","0","0","2","1","24","2"
"oxford united","2007-08","conference premier","19","0","1","0","0","0","2","0","22","0"
"oxford united","total","total","41","1","1","0","0","0","4","1","46","2"
"newport county","2008-09","conference south","41","8","2","1","0","0","0","0","43","9"
"newport county","2009-10","conference south","38","8","2","0","0","0","0","0","40","8"
"newport county","2010-11","conference premier","46","6","0","0","0","0","0","0","46","6"
"newport county","2011-12","conference premier","24","11","1","0","0","0","0","0","25","11"
"newport county","total","total","149","33","5","1","0","0","0","0","154","34"
"fleetwood town","2011-12","conference premier","10","2","0","0","0","0","0","0","10","2"
"aldershot town","2012-13","league two","34","2","3","0","0","0","0","0","37","2"
"oxford united","2013-14","league two","40","4","3","1","1","0","0","0","44","5"
"oxford united","2014-15","league two","29","2","3","1","1","0","1","0","34","3"
"oxford united","2015-16","league two","13","0","3","0","2","0","1","0","19","0"
"oxford united","total","total","82","6","9","2","4","0","2","0","97","8"
"northampton town","2015-16","league two","15","1","0","0","0","0","0","0","15","1"
"portsmouth","2016-17","league two","38","5","1","0","0","0","1","0","40","5"
"portsmouth","2017-18","league one","15","0","0","0","1","0","2","0","18","0"
"portsmouth","2018-19","league one","1","0","0","0","0","0","4","0","5","0"
"portsmouth","total","total","54","5","1","0","1","0","7","0","63","5"
"career total","career total","career total","385","50","19","3","5","0","13","1","422","54"
