"company size","2008","2009","2010","2011","2012","2013","2014","2015"
"micro companiesa","","","","","","","",""
"5-9","27.9","9.7","12.9","11.6","7","6.8","10.1","10.7"
"small companies","","","","","","","",""
"10-19","19.4","10.1","11.6","7.6","7.5","6.6","9.1","8.7"
"20-49","12.8","8.6","8","6.9","5.3","5.8","6.3","5.7"
"medium companies","","","","","","","",""
"50-99","7.6","9.6","6","5.6","6","3.6","5.4","6.7"
"100-249","6","5.5","4.1","4.2","3.5","3.9","3.7","4.3"
"large companies","","","","","","","",""
"250-499","4.5","4.2","3.1","3.3","4.1","3.6","4.2","4.8"
"500-999","3.6","3.8","3.2","2.6","3.5","3.4","3.5","4.4"
"1,000-4,999","4.3","4.5","4","4.2","4.1","4.8","4.5","4.5"
"5,000-9,999","2.7","3.4","2","2.4","2.6","3.5","4.3","3.9"
"10,000-24,999","3.2","3.1","2.5","2.5","2.8","2.7","2.7","3.6"
"25,000 or more","3.1","3.2","3","3","3","2.9","3","3.4"
