"","2001","2016","2018","change from 2001 to 2016","contribution to the change from 2001 to 2016"
"","number","number","number","number","percent"
"manufacturing","1,977,618","1,482,131","1,552,714","-495,487","100.0"
"food manufacturing","231,063","221,653","238,085","-9,410","1.9"
"beverage and tobacco product manufacturing","34,925","37,252","43,069","2,327","-0.5"
"textile mills","26,122","7,621","6,985","-18,501","3.7"
"textile product mills","19,707","9,469","9,961","-10,238","2.1"
"clothing manufacturing","82,770","19,380","19,393","-63,390","12.8"
"leather and allied product manufacturing","9,480","3,265","2,568","-6,215","1.3"
"paper manufacturing","103,703","53,178","54,121","-50,525","10.2"
"printing and related support activities","83,347","49,081","49,871","-34,266","6.9"
"petroleum and coal product manufacturing","15,305","19,057","17,791","3,752","-0.8"
"chemical manufacturing","93,412","89,005","91,660","-4,407","0.9"
"plastics and rubber products manufacturing","125,248","97,934","99,552","-27,314","5.5"
"wood product manufacturing","135,758","92,281","93,631","-43,477","8.8"
"non-metallic mineral product manufacturing","53,719","49,935","53,745","-3,784","0.8"
"primary metal manufacturing","91,185","53,900","56,878","-37,285","7.5"
"fabricated metal product manufacturing","184,269","151,467","156,652","-32,802","6.6"
"machinery manufacturing","134,897","127,363","137,614","-7,534","1.5"
"computer and electronic product manufacturing","105,761","55,159","56,791","-50,602","10.2"
"electrical equipment, appliance and component manufacturing","48,723","32,677","34,249","-16,046","3.2"
"transportation equipment manufacturing","242,700","191,902","205,100","-50,798","10.3"
"furniture and related product manufacturing","98,601","64,744","67,101","-33,857","6.8"
"miscellaneous manufacturing","56,922","55,804","57,898","-1,118","0.2"
