"selected characteristics","unadjusted probabilities","95% confidence interval","95% confidence interval","adjusted probabilities","95% confidence interval","95% confidence interval"
"selected characteristics","unadjusted probabilities","from","to","adjusted probabilities","from","to"
"sex","sex","sex","sex","sex","sex","sex"
"men","0.43","0.39","0.48","0.42","0.38","0.46"
"women","0.35","0.31","0.39","0.36","0.32","0.40"
"smoking","smoking","smoking","smoking","smoking","smoking","smoking"
"smokes cigarettes daily","0.37","0.34","0.41","0.38","0.34","0.41"
"smokes occasionally or not at all","0.43","0.38","0.48","0.41","0.36","0.46"
"alcohol consumption","alcohol consumption","alcohol consumption","alcohol consumption","alcohol consumption","alcohol consumption","alcohol consumption"
"heavy, frequent drinker","0.34","0.22","0.47","0.35","0.25","0.47"
"not a heavy, frequent drinker","0.40","0.37","0.43","0.40","0.37","0.43"
"body mass index","body mass index","body mass index","body mass index","body mass index","body mass index","body mass index"
"underweight, normal weight or overweight","0.42","0.38","0.46","0.42","0.38","0.46"
"obese","0.37","0.31","0.43","0.33","0.28","0.39"
"total household income","total household income","total household income","total household income","total household income","total household income","total household income"
"lowest income quartile","0.37","0.31","0.43","0.41","0.36","0.47"
"not in lowest income quartile","0.40","0.36","0.43","0.38","0.35","0.41"
"education - highest level attained","education - highest level attained","education - highest level attained","education - highest level attained","education - highest level attained","education - highest level attained","education - highest level attained"
"less than high school","0.34","0.29","0.38","0.35","0.30","0.39"
"high school","0.41","0.35","0.46","0.40","0.35","0.45"
"completed post-secondary","0.47","0.42","0.53","0.46","0.40","0.51"
"livelihood","livelihood","livelihood","livelihood","livelihood","livelihood","livelihood"
"employed at a job or business or active in a traditional activity","0.41","0.38","0.44","0.40","0.37","0.43"
"neither employed nor active in a traditional activity","0.30","0.24","0.38","0.33","0.26","0.41"
"household crowding","household crowding","household crowding","household crowding","household crowding","household crowding","household crowding"
"one person or fewer per room","0.39","0.35","0.43","0.38","0.34","0.42"
"more than one person per room","0.39","0.34","0.43","0.39","0.35","0.44"
"dwelling in need of repairs","dwelling in need of repairs","dwelling in need of repairs","dwelling in need of repairs","dwelling in need of repairs","dwelling in need of repairs","dwelling in need of repairs"
"only regular maintenance or minor repairs are needed","0.42","0.39","0.45","0.41","0.38","0.44"
"major repairs are needed","0.30","0.25","0.36","0.33","0.28","0.39"
"food security","food security","food security","food security","food security","food security","food security"
"high or marginal food security","0.46","0.42","0.51","0.43","0.38","0.47"
"low or very low food security","0.33","0.29","0.37","0.35","0.31","0.39"
"difficulty accessing health care","difficulty accessing health care","difficulty accessing health care","difficulty accessing health care","difficulty accessing health care","difficulty accessing health care","difficulty accessing health care"
"there was a time when health care was needed but not received","0.24","0.18","0.31","0.24","0.18","0.31"
"no time when health care was needed but not received","0.41","0.38","0.45","0.41","0.38","0.44"
"last time visited a dental professional","last time visited a dental professional","last time visited a dental professional","last time visited a dental professional","last time visited a dental professional","last time visited a dental professional","last time visited a dental professional"
"within the last 3 years","0.42","0.38","0.45","0.40","0.37","0.44"
"at least 3 years since a dental professional was seen","0.33","0.26","0.40","0.35","0.28","0.42"
"ability to speak an inuit language","ability to speak an inuit language","ability to speak an inuit language","ability to speak an inuit language","ability to speak an inuit language","ability to speak an inuit language","ability to speak an inuit language"
"speaks an inuit language very or relatively well","0.38","0.34","0.42","0.39","0.35","0.42"
"speaks an inuit language with effort or only a few words","0.42","0.36","0.48","0.39","0.34","0.45"
"does not speak an inuit language","0.43","0.34","0.53","0.40","0.31","0.49"
"strength of family ties","strength of family ties","strength of family ties","strength of family ties","strength of family ties","strength of family ties","strength of family ties"
"strong or very strong family ties","0.43","0.39","0.47","0.42","0.38","0.46"
"moderate to very weak family ties","0.32","0.27","0.37","0.34","0.29","0.39"
"presence of a mood or anxiety disorder","presence of a mood or anxiety disorder","presence of a mood or anxiety disorder","presence of a mood or anxiety disorder","presence of a mood or anxiety disorder","presence of a mood or anxiety disorder","presence of a mood or anxiety disorder"
"diagnosed with a mood or anxiety disorder","0.26","0.19","0.35","0.27","0.18","0.37"
"not diagnosed with a mood or anxiety disorder","0.40","0.37","0.44","0.40","0.37","0.43"
"history of residential school attendance","history of residential school attendance","history of residential school attendance","history of residential school attendance","history of residential school attendance","history of residential school attendance","history of residential school attendance"
"personal or family history of residential school attendance","0.42","0.38","0.45","0.41","0.37","0.44"
"no family history of residential school attendance","0.37","0.29","0.45","0.39","0.31","0.47"
"population centre size","population centre size","population centre size","population centre size","population centre size","population centre size","population centre size"
"rural area","0.38","0.34","0.41","0.39","0.35","0.42"
"small population centre","0.41","0.36","0.47","0.40","0.34","0.45"
