"","percentage of households","neighbourhood satisfaction"
"perception of safety","",""
"unsafe","13.7","62.0"
"safe","73.0","90.4"
"do not walk alone","12.3","82.0"
"number of neighbourhood issues reported as a big problem","",""
"no neighbourhood issues","83.4","89.9"
"at least one neighbourhood issue","14.1","60.0"
"type of neighbourhood issues reported as big problem","",""
"noisy neighbours or loud parties","3.0","51.0"
"people hanging around on the streets","3.2","47.0"
"garbage or litter lying around","5.0","54.0"
"vandalism, graffiti and other damage to property or vehicles","3.7","58.0"
"people attacked because of skin colour, ethnicity or religion","1.8","58.0"
"people using or dealing drugs","7.0","55.0"
"people being drunk or rowdy in public places","3.9","54.0"
"abandoned buildings","1.7","66.0"
"smog or air pollution","3.3","64.0"
