"province or territory","homicide","homicide","homicide","attempted murder","attempted murder","attempted murder","major assault","major assault","major assault","robbery","robbery","robbery"
"province or territory","number","rate","percent change in rate 2018 to 2019","number","rate","percent change in rate 2018 to 2019","number","rate","percent change in rate 2018 to 2019","number","rate","percent change in rate 2018 to 2019"
"newfoundland and labrador","5","0.96","..","4","0.77","..","742","142","20","162","31","-24"
"prince edward island","2","1.27","..","0","0.00","..","111","71","0","24","15","12"
"nova scotia","6","0.62","-46","43","4.43","124","1,254","129","8","237","24","-25"
"new brunswick","15","1.93","15","17","2.19","87","1,162","150","8","173","22","-16"
"quebec","77","0.91","-8","200","2.36","6","11,482","135","7","3,417","40","4"
"ontario","246","1.69","-11","345","2.37","-10","17,029","117","2","8,936","61","-1"
"manitoba","72","5.26","29","26","1.90","-29","6,157","450","11","2,688","196","-1"
"saskatchewan","55","4.68","60","69","5.88","90","4,638","395","9","1,110","95","10"
"alberta","100","2.29","21","53","1.21","-2","10,162","232","6","3,621","83","2"
"british columbia","90","1.77","-1","100","1.97","12","9,229","182","19","2,856","56","13"
"yukon","1","2.45","..","1","2.45","..","228","558","3","22","54","37"
"northwest territories","2","4.46","..","1","2.23","..","544","1,214","26","34","76","-13"
"nunavut","7","18.05","-14","6","15.47","-26","602","1,552","32","16","41","21"
"canada","678","1.80","2","865","2.30","4","63,340","169","8","23,296","62","2"
