"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"vasco da gama","2008","serie a","29","5","7","1","2","0","17","2","55","8"
"vasco da gama","2009","serie b","22","5","3","0","0","0","12","3","37","8"
"vasco da gama","total","total","51","10","10","1","2","0","29","5","92","16"
"shakhtar donetsk","2009-10","ukrainian premier league","3","0","0","0","0","0","0","0","3","0"
"shakhtar donetsk","2010-11","ukrainian premier league","26","5","4","1","8","0","1","0","39","6"
"shakhtar donetsk","2011-12","ukrainian premier league","26","7","5","3","5","0","1","0","37","10"
"shakhtar donetsk","2012-13","ukrainian premier league","27","10","5","4","8","2","1","0","41","16"
"shakhtar donetsk","2013-14","ukrainian premier league","27","6","4","0","8","3","1","0","40","9"
"shakhtar donetsk","2014-15","ukrainian premier league","22","17","7","2","8","3","0","0","37","22"
"shakhtar donetsk","2015-16","ukrainian premier league","15","22","0","0","10","4","1","0","26","26"
"shakhtar donetsk","total","total","146","67","25","10","47","12","5","0","223","89"
"jiangsu suning","2016","chinese super league","28","11","7","6","6","2","1","0","42","19"
"jiangsu suning","2017","chinese super league","19","8","2","0","7","3","1","0","29","11"
"jiangsu suning","2018","chinese super league","28","13","3","2","0","0","0","0","31","15"
"jiangsu suning","2019","chinese super league","1","2","0","0","0","0","0","0","1","2"
"jiangsu suning","total","total","76","34","12","8","13","5","2","0","103","47"
"career total","career total","career total","273","111","47","19","62","17","36","5","418","152"
