"","volunteer rate","volunteer rate","volunteer rate","volunteer rate"
"","2013","2010","2007","2004"
"","percentage","percentage","percentage","percentage"
"total","44","47","46","45"
"men","42","46","45","44"
"women","45","48","47","47"
"age","age","age","age","age"
"15 to 19","66","66","65","65"
"20 to 24","42","48","47","43"
"25 to 34","42","46","40","42"
"35 to 44","48","54","52","51"
"45 to 54","45","45","48","47"
"55 to 64","41","41","40","42"
"65 to 74","38","40","40","39"
"75 and over","27","31","29","23"
