"club","season","league","league","league","national cup","national cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"austria wien","2011-12","austrian bundesliga","13","2","1","0","none","none","14","2"
"austria wien","2012-13","austrian bundesliga","28","3","4","0","none","none","32","3"
"austria wien","2013-14","austrian bundesliga","10","1","1","0","4","0","15","1"
"austria wien","total","total","51","6","6","0","4","0","61","6"
"tobol","2014","kazakhstan premier league","26","5","0","0","none","none","26","5"
"tobol","2015","kazakhstan premier league","27","5","4","1","none","none","30","6"
"tobol","2016","kazakhstan premier league","28","8","0","0","none","none","28","8"
"tobol","2017","kazakhstan premier league","6","0","1","0","none","none","7","0"
"tobol","total","total","87","18","5","1","none","none","92","19"
"aktobe","2017","kazakhstan premier league","14","5","0","0","none","none","14","5"
"career total","career total","career total","152","29","11","1","4","0","167","30"
