"","job vacancies","employment","unemployment","job vacancy rate","unemployment rate"
"","in thousands","in thousands","in thousands","percent","percent"
"2015","","","","",""
"1st quarter","406.7","14,864.7","1,345.2","2.7","7.4"
"2nd quarter","449.3","14,932.2","1,316.2","2.9","7.1"
"3rd quarter","405.9","15,174.3","1,354.8","2.6","7.2"
"4th quarter","355.0","15,282.1","1,239.7","2.3","6.7"
"2016","","","","",""
"1st quarter","328.2","14,970.7","1,446.0","2.2","7.8"
"2nd quarter","391.1","15,024.7","1,339.1","2.5","7.1"
"3rd quarter","404.7","15,298.7","1,366.3","2.6","7.2"
"4th quarter","379.9","15,447.9","1,213.2","2.4","6.5"
"average","390.1","15,124.4","1,327.6","2.5","7.1"
