"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"blackpool","1976-77","second division","5","0","0","0","2","0","2","0","9","0"
"blackpool","1977-78","second division","0","0","0","0","1","0","0","0","1","0"
"blackpool","1978-79","third division","18","4","1","0","5","0","3","0","27","4"
"blackpool","1979-80","third division","7","1","2","0","1","0","3","0","13","1"
"blackpool","1980-81","third division","36","4","2","2","4","0","4","1","46","7"
"blackpool","1981-82","fourth division","41","7","5","0","2","0","1","0","49","7"
"blackpool","1982-83","fourth division","40","8","2","0","5","0","0","0","47","8"
"blackpool","total","total","147","24","12","2","20","0","13","1","192","27"
"swindon town","1983-84","fourth division","36","3","5","0","2","1","3","0","46","4"
"swindon town","1984-85","fourth division","22","1","1","0","1","0","0","0","24","1"
"swindon town","1985-86","fourth division","37","1","2","0","4","1","2","1","45","3"
"swindon town","1986-87","third division","40","2","4","0","4","0","9","0","57","2"
"swindon town","1987-88","second division","43","0","3","0","4","0","5","1","55","1"
"swindon town","1988-89","second division","44","0","4","0","2","0","3","0","53","0"
"swindon town","1989-90","second division","20","0","1","0","4","0","0","0","25","0"
"swindon town","1990-91","second division","3","0","0","0","0","0","0","0","3","0"
"swindon town","total","total","245","7","20","0","24","2","22","2","311","11"
"hull city","1990-91","second division","35","1","0","0","2","0","0","0","37","1"
"hull city","1991-92","third division","12","0","1","0","0","0","2","0","15","0"
"hull city","1992-93","third division","25","1","2","0","2","1","2","0","31","2"
"hull city","total","total","72","2","3","0","4","1","4","0","83","3"
"stoke city","1992-93","second division","7","0","0","0","0","0","0","0","7","0"
"stoke city","total","total","7","0","0","0","0","0","0","0","7","0"
"shrewsbury town","1993-94","third division","32","0","3","0","4","0","1","0","40","0"
"shrewsbury town","1994-95","second division","16","0","1","0","2","0","2","0","21","0"
"shrewsbury town","total","total","48","0","4","0","6","0","3","0","61","0"
"career total","career total","career total","519","33","39","2","54","3","42","3","654","41"
