"type of correctional supervision","2016/2017","2016/2017","percent change in rate from 2015/2016","percent change in rate from 2012/2013"
"type of correctional supervision","number","rate","percent","percent"
"total custody","897","5","-12","-33"
"pre-trial detention","520","3","-10","-25"
"sentenced custody","356","2","-15","-43"
"provincial director remand","21","0","-7","-15"
"total community supervision","6,719","39","-11","-38"
"probation","6,025","35","-10","-39"
"intensive support and supervision","213","1","-20","-38"
"deferred custody and supervision","191","1","-26","-34"
"community portion of custody sentence","289","2","-10","-25"
"total correctional services","7,616","44","-10","-37"
